time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,curriculum/obs_quantity,train/value_loss,train/clip_fraction,train/ent_coef,curriculum/grid_size,train/approx_kl,train/loss,train/entropy_loss,train/clip_range,curriculum/stage_timesteps,curriculum/max_steps,train/policy_gradient_loss,train/learning_rate,curriculum/stage,train/explained_variance,eval/stage_timesteps,eval/std_ep_length,eval/mean_ep_length,eval/stage,eval/deterministic,eval/std_reward,eval/full_coverage_rate,eval/mean_reward
5,23,189440,1097,5.496405124664307,190.36,180,,1.0844611364603043,0.079296875,,,0.005999322,0.41539907455444336,-0.6896205300092697,0.2,,,-0.0038641670998185874,0.0001,,0.24738574028015137,,,,,,,,
6,28,194560,1081,5.7869391441345215,182.63,185,,0.9905089527368546,0.0969140625,,,0.0071110344,0.4696462154388428,-0.699985824227333,0.2,,,-0.00603072346188128,0.0001,,0.20325630903244019,,,,,,,,
7,33,199680,1073,6.267528057098389,168.02,190,,0.8419720077514649,0.107265625,,,0.008974666,0.36514097452163696,-0.70738296687603,0.2,,,-0.008871216606348754,0.0001,,0.22925680875778198,,,,,,,,
8,38,204800,1064,6.14254903793335,169.93,195,,1.0586960184574128,0.069375,,,0.005769579,0.618102490901947,-0.6567781913280487,0.2,,,-0.00452065359801054,0.0001,,0.156732976436615,,,,,,,,
9,43,209920,1057,5.852936267852783,178.32,200,,0.6633984237909317,0.08109375,,,0.006361903,0.33263418078422546,-0.6619680714607239,0.2,,,-0.004016932249069214,0.0001,,0.2401876449584961,,,,,,,,
10,48,215040,1053,6.057925224304199,170.83,205,,0.7443964034318924,0.074609375,,,0.0061883675,0.2583765983581543,-0.6583005380630493,0.2,,,-0.002632851623930037,0.0001,,0.23555690050125122,,,,,,,,
,,,,,,210,,0.8009288477897644,0.0776953125,,,0.007299063,0.32265371084213257,-0.640307537317276,0.2,,,-0.004540025354363025,0.0001,,0.17078560590744019,102400,81.34247107139049,168.68,2,0,2.3147181212857975,0.91,6.221538848280907
1,4,220160,1277,6.033015727996826,171.95,,8,,,0.001,8,,,,,102400,320,,,2,,,,,,,,,
2,7,225280,1287,6.4006547927856445,161.4,215,,0.7304883766174316,0.0773046875,,,0.0055535217,0.28558531403541565,-0.6653246766328812,0.2,,,-0.004082581722177565,0.0001,,0.20775693655014038,,,,,,,,
3,11,230400,1315,6.185976505279541,169.67,220,,0.7676902413368225,0.072890625,,,0.007826935,0.35242512822151184,-0.6120923167467117,0.2,,,-0.0034142330614849925,0.0001,,0.22002190351486206,,,,,,,,
4,16,235520,1254,6.066925048828125,172.38,225,,0.6198976391553879,0.079375,,,0.006937582,0.21690431237220764,-0.6578829926252365,0.2,,,-0.004691472174599766,0.0001,,0.15134823322296143,,,,,,,,
5,21,240640,1202,5.8331828117370605,174.33,230,,0.6204699084162713,0.097265625,,,0.010061318,0.31640321016311646,-0.6311438113451004,0.2,,,-0.003460567481815815,0.0001,,0.28958994150161743,,,,,,,,
6,26,245760,1177,5.679543495178223,174.48,235,,0.6893288806080818,0.0615625,,,0.004786736,0.35176974534988403,-0.6036594653129578,0.2,,,-0.002972757345996797,0.0001,,0.33909904956817627,,,,,,,,
7,31,250880,1136,5.575368881225586,180.92,240,,0.7871297323703765,0.0709765625,,,0.005743074,0.28293314576148987,-0.5919138771295548,0.2,,,-0.003993036351166665,0.0001,,0.3962111473083496,,,,,,,,
8,36,256000,1116,6.064062595367432,167.17,245,,0.7672525691986084,0.0895703125,,,0.0050952723,0.3823322057723999,-0.5741221648454666,0.2,,,-0.003412345270626247,0.0001,,0.33908510208129883,,,,,,,,
9,41,261120,1101,6.342099666595459,161.94,250,,0.9572463607788086,0.058671875,,,0.005112947,0.45357027649879456,-0.5690368485450744,0.2,,,-0.003680856991559267,0.0001,,0.2568782567977905,,,,,,,,
10,46,266240,1091,6.7094011306762695,150.37,255,,0.811745970249176,0.08171875,,,0.0062484453,0.3286929130554199,-0.5525018724799157,0.2,,,-0.0042292050505056975,0.0001,,0.3136597275733948,,,,,,,,
,,,,,,260,,0.868451111316681,0.0710546875,,,0.0054404587,0.4295259416103363,-0.5096490135788918,0.2,,,-0.00379398082382977,0.0001,,0.3315918445587158,153600,68.10829611728663,142.8,2,0,2.0313285414047115,0.94,6.703240156173706
1,3,271360,1442,6.542749404907227,154.29,,8,,,0.001,8,,,,,153600,320,,,2,,,,,,,,,
2,8,276480,1192,6.572540283203125,151.18,265,,0.7901292473077774,0.0644140625,,,0.0063374355,0.2976178526878357,-0.5019956967234611,0.2,,,-0.003247218178585172,0.0001,,0.2604823708534241,,,,,,,,
3,13,281600,1135,6.429242134094238,149.78,270,,0.6517522072792054,0.080546875,,,0.006184372,0.3055840730667114,-0.514214605987072,0.2,,,-0.004356992808170617,0.0001,,0.21742546558380127,,,,,,,,
4,18,286720,1101,6.420254707336426,147.29,275,,0.5709915176033974,0.0724609375,,,0.0076307617,0.20616106688976288,-0.4523363235592842,0.2,,,-0.005156222791410983,0.0001,,0.3628065586090088,,,,,,,,
5,23,291840,1091,6.655282974243164,138.51,280,,0.6526352524757385,0.0558984375,,,0.0049744993,0.22592370212078094,-0.43955896705389025,0.2,,,-0.00350580386351794,0.0001,,0.2835851311683655,,,,,,,,
6,28,296960,1084,7.183717727661133,122.28,285,,0.5133620405197143,0.068046875,,,0.0056225327,0.20559179782867432,-0.4383546933531761,0.2,,,-0.004095614133402706,0.0001,,0.34766238927841187,,,,,,,,
7,33,302080,1081,7.142327785491943,121.31,290,,0.44404941201210024,0.0674609375,,,0.0060536414,0.21318209171295166,-0.40902451425790787,0.2,,,-0.0026801684498786926,0.0001,,0.4995459318161011,,,,,,,,
8,38,307200,1074,7.147451400756836,121.21,295,,0.41610282272100446,0.0691796875,,,0.008232346,0.19531609117984772,-0.41649688124656675,0.2,,,-0.0008385977800935507,0.0001,,0.36665064096450806,,,,,,,,
9,42,312320,1074,7.1143951416015625,127.35,300,,0.42607442796230316,0.056171875,,,0.0051061017,0.19073818624019623,-0.4140834200382233,0.2,,,-0.0005918414238840342,0.0001,,0.4652625322341919,,,,,,,,
10,47,317440,1071,6.916342735290527,130.12,305,,0.48597074031829834,0.059296875,,,0.0056592165,0.1892305165529251,-0.41455476999282836,0.2,,,-0.0034019230399280785,0.0001,,0.4372788667678833,,,,,,,,
,,,,,,310,,0.41143391937017443,0.0440625,,,0.004870462,0.2282855063676834,-0.41607929646968844,0.2,,,-0.002279256759211421,0.0001,,0.6366519331932068,204800,60.09348966402267,120.55,2,0,1.845535896026691,0.96,7.068529095351696
,,,,,,,,,,,,,,,,,,,,,,204800,59.5071625940945,122.24,2,0,1.5133111400615227,0.97,7.123195429444313
,,,,,,,,,,,,,,,,,,,,,,204800,58.22267599483899,121.2,2,0,1.5248992094020746,0.97,7.125811460614204
1,4,322560,1156,6.678524017333984,151.61,,,,,,,,,,,,,,,,,,,,,,,,
1,2,327680,2038,6.201892852783203,185.58,315,15,1.1663888347148896,0.0984375,0.015,11,0.00895313,0.4302694797515869,-0.48572079300880433,0.2,0,440,-0.005035929176956415,0.0001,3,0.46002471446990967,,,,,,,,
2,6,332800,1582,5.8424601554870605,216.2,320,,0.6773234209418297,0.0784765625,,,0.007935246,0.2764691114425659,-0.44934787005186083,0.2,,,-0.004843534915708005,0.0001,,0.5973124504089355,,,,,,,,
3,10,337920,1489,5.854368686676025,232.5,325,,0.7688661050796509,0.0822265625,,,0.007829951,0.36214837431907654,-0.46643161594867705,0.2,,,-0.0027626155503094195,0.0001,,0.4341423511505127,,,,,,,,
4,14,343040,1420,5.906030654907227,259.94,330,,0.9005658772587776,0.069921875,,,0.00679336,0.38174715638160706,-0.3875766968727112,0.2,,,-0.0022480820631608366,0.0001,,0.278631329536438,,,,,,,,
5,19,348160,1322,5.486112117767334,289.69,335,,0.7840008705854415,0.06875,,,0.008155097,0.31781116127967834,-0.36652328848838805,0.2,,,-0.0007598067587241531,0.0001,,0.14623171091079712,,,,,,,,
6,23,353280,1297,5.685727596282959,284.19,340,,0.5234614819288254,0.083359375,,,0.008491893,0.351302832365036,-0.3989672994613647,0.2,,,-0.002965807041618973,0.0001,,0.34696143865585327,,,,,,,,
7,28,358400,1248,6.104041576385498,270.69,345,,0.6704345777630806,0.0602734375,,,0.0071595274,0.19459961354732513,-0.3709080144762993,0.2,,,-0.002725850772112608,0.0001,,0.2092716097831726,,,,,,,,
8,34,363520,1200,5.882658004760742,275.72,350,,0.6264798665046691,0.06328125,,,0.00617293,0.21372713148593903,-0.3848480814695358,0.2,,,-0.0033392401225864885,0.0001,,0.3857201933860779,,,,,,,,
9,39,368640,1165,5.773799896240234,273.03,355,,0.564388000369072,0.0653515625,,,0.0052423817,0.18288163840770721,-0.37358325213193894,0.2,,,-0.0032164801517501475,0.0001,,0.43325942754745483,,,,,,,,
10,44,373760,1139,5.9646992683410645,266.53,360,,0.5593362364172936,0.0511328125,,,0.0050723646,0.3285728394985199,-0.35915923207998274,0.2,,,-0.0010886924946680665,0.0001,,0.3422815203666687,,,,,,,,
1,3,378880,1457,5.789764881134033,269.25,365,15,0.5185051247477531,0.0768359375,0.011672,11,0.008691877,0.20798078179359436,-0.3792284768819809,0.2,51200,440,-0.0033891777973622085,0.0001,3,0.31100475788116455,,,,,,,,
2,8,384000,1152,5.567783355712891,278.13,370,,0.43851021081209185,0.0658984375,,,0.0062307557,0.17704270780086517,-0.3778593629598618,0.2,,,-0.0006092611700296402,0.0001,,0.2519580125808716,,,,,,,,
3,14,389120,1079,5.816892147064209,270.57,375,,0.6729290276765824,0.0750390625,,,0.006621299,0.36233648657798767,-0.37256667464971543,0.2,,,-0.0009760045958682894,0.0001,,0.3297762870788574,,,,,,,,
4,19,394240,1045,5.666623592376709,275.29,380,,0.5961990734934807,0.066328125,,,0.007191512,0.25376588106155396,-0.37105121463537216,0.2,,,-0.0005014960188418627,0.0001,,0.5146393179893494,,,,,,,,
5,25,399360,1023,5.973433017730713,262.28,385,,0.685939759016037,0.070859375,,,0.0057604928,0.407762736082077,-0.3905288550257683,0.2,,,-0.0009384373901411891,0.0001,,0.4013139009475708,,,,,,,,
6,30,404480,1006,6.369165420532227,249.44,390,,0.7355923211574554,0.070078125,,,0.007816016,0.25491824746131897,-0.3738713291287422,0.2,,,-0.003177667926065624,0.0001,,0.3163900375366211,,,,,,,,
7,35,409600,1002,6.476950168609619,243.17,395,,0.6519227054715157,0.0744140625,,,0.007203678,0.2415667474269867,-0.36374866276979445,0.2,,,-0.0033620813535526397,0.0001,,0.396852970123291,,,,,,,,
8,41,414720,993,6.293631553649902,250.91,400,,0.5486351683735847,0.07546875,,,0.0073027476,0.21484775841236115,-0.36458282321691515,0.2,,,-0.0030607187515124677,0.0001,,0.5127701163291931,,,,,,,,
9,46,419840,991,6.260195732116699,254.6,405,,0.5520182105898858,0.071328125,,,0.00914702,0.26146456599235535,-0.3649506857991219,0.2,,,-0.003308661594055593,0.0001,,0.3808227777481079,,,,,,,,
10,51,424960,987,5.959564208984375,265.05,410,,0.47536910831928253,0.0670703125,,,0.01093777,0.17492197453975677,-0.3421266144514084,0.2,,,-0.002180858263745904,0.0001,,0.2636840343475342,,,,,,,,
1,3,430080,1469,5.893497467041016,266.05,415,15,0.562340193092823,0.0662109375,0.008344,11,0.0058096168,0.20713935792446136,-0.3627996709942818,0.2,102400,440,-0.0022376546077430247,0.0001,3,0.3253057599067688,,,,,,,,
2,8,435200,1156,5.610564708709717,279.98,420,,0.4768925365805626,0.0779296875,,,0.008781793,0.26562654972076416,-0.37967364728450775,0.2,,,-0.0035196707863360643,0.0001,,0.36262524127960205,,,,,,,,
3,14,440320,1081,5.482088565826416,282.96,425,,0.6196838366985321,0.089921875,,,0.007172589,0.23702894151210785,-0.3651546159386635,0.2,,,-0.002439619433134794,0.0001,,0.37843501567840576,,,,,,,,
4,19,445440,1043,5.455571174621582,291.67,430,,0.4835562600195408,0.0634765625,,,0.006342283,0.24951133131980896,-0.3743527665734291,0.2,,,-0.002865671906620264,0.0001,,0.41136449575424194,,,,,,,,
5,24,450560,1027,5.555593967437744,285.16,435,,0.8162468162178993,0.067265625,,,0.006105989,0.37478554248809814,-0.3768185842037201,0.2,,,-0.0013597856741398573,0.0001,,0.30925220251083374,,,,,,,,
6,30,455680,1014,5.501159191131592,286.96,440,,0.6096715521812439,0.0698046875,,,0.0055164685,0.32161396741867065,-0.36703396677970884,0.2,,,-0.001417801221832633,0.0001,,0.2561202645301819,,,,,,,,
7,35,460800,1003,5.770421028137207,278.36,445,,0.6118873533606529,0.0645703125,,,0.008878448,0.24877220392227173,-0.34469932854175567,0.2,,,-0.0006984802801162004,0.0001,,0.25064295530319214,,,,,,,,
8,41,465920,997,6.262267589569092,264.66,450,,0.6652974480390549,0.06859375,,,0.008912978,0.3145086169242859,-0.367166633605957,0.2,,,-0.0028667699312791227,0.0001,,0.16062355041503906,,,,,,,,
9,46,471040,992,6.403293609619141,255.1,455,,0.7246421509981156,0.0690625,,,0.009122951,0.3608427047729492,-0.3373555487394333,0.2,,,-0.0009477945324033499,0.0001,,0.22540795803070068,,,,,,,,
10,51,476160,988,6.182887077331543,263.1,460,,0.5527288889884949,0.073125,,,0.0063539604,0.2593472898006439,-0.34949799329042436,0.2,,,-0.0016664673388004302,0.0001,,0.24142485857009888,,,,,,,,
1,3,481280,1393,6.1399030685424805,270.43,465,15,0.46498797670006753,0.058046875,0.005016,11,0.006521301,0.21737778186798096,-0.3176692387461662,0.2,153600,440,-0.001972714914008975,0.0001,3,0.3165847063064575,,,,,,,,
2,9,486400,1133,6.169842720031738,269.94,470,,0.4806907445192337,0.068515625,,,0.0076119155,0.15754619240760803,-0.33408676713705066,0.2,,,-0.0013364964863285423,0.0001,,0.33481234312057495,,,,,,,,
3,14,491520,1063,6.107365608215332,269.54,475,,0.5613276931643486,0.07578125,,,0.0072937533,0.27309995889663696,-0.33014641791582106,0.2,,,-0.002511451174505055,0.0001,,0.23806625604629517,,,,,,,,
4,19,496640,1028,6.1675310134887695,267.28,480,,0.426336874961853,0.0706640625,,,0.011534157,0.2051316350698471,-0.3031008419394493,0.2,,,-0.0006816030899062753,0.0001,,0.44052714109420776,,,,,,,,
5,25,501760,1008,6.164252758026123,267.7,485,,0.47937875300645827,0.0868359375,,,0.01744341,0.26223626732826233,-0.2881382074952126,0.2,,,-0.0011747428681701422,0.0001,,0.46177005767822266,,,,,,,,
