time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/value_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,curriculum/stage_timesteps,curriculum/obs_quantity,curriculum/preferred_eval_mode,train/ent_coef,curriculum/max_steps,train/stage_learning_rate,curriculum/stage,curriculum/grid_size,plasticity/effective_rank_99_normalized_mean,plasticity/effective_rank_99_mean,plasticity/low_weight_units,plasticity/weight_rms,plasticity/total_weight_units,plasticity/weight_abs_mean,plasticity/low_weight_unit_ratio,plasticity/weight_max_abs,eval/full_coverage_rate,eval/mean_reward,eval/std_reward,eval/mean_ep_length,eval/deterministic,eval/stage_timesteps,eval/std_ep_length,eval/stage,eval/promotion_min_mean_reward,eval/mode_gap,eval/stochastic_quality_passed,eval/promotion_max_mean_length,eval/deterministic_promotion_floor,eval/promotion_passed,eval/deterministic_quality_passed,eval/quality_promotion_passed,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/deterministic_full_coverage_rate,eval/promotion_full_coverage_rate,eval/coverage_promotion_passed
2,261120,79.06,39,256,1.5837913751602173,7e-05,-1.0505709536373615,0.08,-0.0013110717380186542,0.7428666353225708,2.085714503657073,0.0014877829,400,0.1169677734375,0.7363487482070923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,266240,80.55,78,196,2.0419015884399414,7e-05,-1.0496941242367028,0.08,-0.0019562484667403623,0.7279111742973328,2.2635484045371412,0.0020480547,408,0.1332763671875,0.7821579575538635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,271360,83.47,118,173,1.8911564350128174,7e-05,-1.049423997849226,0.08,-0.0012069802294718101,1.258081316947937,2.1899075612891465,0.0021673695,416,0.146435546875,0.7748920917510986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,276480,74.06,158,161,2.1139206886291504,7e-05,-1.0489077109843492,0.08,-0.002130180950916838,1.3739577531814575,2.1798198853852226,0.0017028019,424,0.114697265625,0.7659281492233276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,-1.0240065656602382,0.08,-0.0025972872012062,1.6457812786102295,2.1888198950327933,0.0018752686,432,0.1455810546875,0.76097571849823,,,,,,,,,0.9065755208333334,123.91666666666667,23,0.020436718129852486,1925,0.008340461848174573,0.011948051948051949,0.885456919670105,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,3.263106927908957,4.404676390488139,64.49,0,256000,33.210388434946076,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,4.041521842479706,5.883715981299365,83.51,1,256000,76.4419380968327,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256000,,1,6.75,0.29000000000000004,0,45.0,0.6649999999999999,0,0,0,0.99,0.99,0.7,0.99,1
1,281600,70.0,1,2612,2.8074533939361572,,,,,,,,,,,256000,3,1,0.0010000000000000009,200,7e-05,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,286720,74.13,39,256,2.064271926879883,7e-05,-1.0085787456482649,0.08,-0.0024849797468050384,2.0786731243133545,2.0000734847038983,0.0019384827,440,0.173046875,0.7604572176933289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
