time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/approx_kl,train/value_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates
12,501760,2,853,0.26251953125,0.021748247,0.06267047603614628,0.8082606792449951,-0.9715442842245102,0.0003,0.2,-0.08154638111591339,-0.029291329183615746,970
4,506880,1,1227,0.2266796875,0.018610202,0.05422197548672557,0.7744854688644409,-0.9946974360942841,0.0003,0.2,-0.08852079510688782,-0.02602094288682565,980
11,512000,2,914,0.21744140625,0.01918199,0.05332053862977773,0.7403414249420166,-0.9698407825827599,0.0003,0.2,-0.06299096345901489,-0.025015441987197847,990
3,517120,1,1593,0.23095703125,0.019382566,0.06472712755203247,0.7872380018234253,-0.963591356575489,0.0003,0.2,-0.07360637933015823,-0.028124750957358627,1000
10,522240,2,931,0.212890625,0.018362522,0.058817963814362884,0.8198826313018799,-0.9379866525530816,0.0003,0.2,-0.07656548917293549,-0.023268201344180853,1010
3,527360,1,1299,0.22650390625,0.019552734,0.05182282487861812,0.8428757786750793,-0.9097904434800148,0.0003,0.2,-0.06943874061107635,-0.025194765646010638,1020
11,532480,2,856,0.21626953125,0.019198177,0.1271581364236772,0.7267051339149475,-0.9195817506313324,0.0003,0.2,-0.06918355822563171,-0.023570344359613957,1030
4,537600,1,1091,0.21583984375,0.02182216,0.11705769886262715,0.6694409847259521,-0.9410771015286445,0.0003,0.2,-0.048527952283620834,-0.02178007156820968,1040
11,542720,2,902,0.22814453125,0.021998385,0.08481155520305038,0.6608338952064514,-0.9799518293142319,0.0003,0.2,-0.0638374611735344,-0.023761353321606293,1050
2,547840,1,1848,0.23140625,0.022522897,0.058436922105029224,0.7673710584640503,-0.9504157757759094,0.0003,0.2,-0.07044480741024017,-0.02362366779590957,1060
