time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/explained_variance,train/loss,train/clip_range,train/learning_rate,train/approx_kl
15,90112,1,268,0.1659423828125,-0.7075819797813893,-0.01635311029094737,0.11633374397642911,210,0.5236350297927856,-0.01259363442659378,0.2,0.0003,0.014350092
41,94208,2,197,0.15546875,-0.7147661685943604,-0.012831936525617493,0.11270796195603908,220,0.4950762987136841,-0.008974868804216385,0.2,0.0003,0.013205495
67,98304,3,181,0.14091796875,-0.7081637315452098,-0.017077799305843654,0.11011116458103061,230,0.46049511432647705,-0.007618241012096405,0.2,0.0003,0.013429688
15,102400,1,264,0.1566162109375,-0.696154935657978,-0.017843837339023595,0.10819852421991527,240,0.41236424446105957,-0.028252024203538895,0.2,0.0003,0.014232172
41,106496,2,195,0.161767578125,-0.6952972505241632,-0.013132977228087839,0.14771149205043912,250,0.3456818461418152,0.012101247906684875,0.2,0.0003,0.016262481
68,110592,3,178,0.1904052734375,-0.6816515944898128,-0.014133686051354743,0.12114724651910365,260,0.3104967474937439,-0.023834481835365295,0.2,0.0003,0.0149644185
16,114688,1,247,0.163525390625,-0.652967806532979,-0.017286856414284558,0.09443963207304477,270,0.342875599861145,-0.013154678046703339,0.2,0.0003,0.015276387
44,118784,2,184,0.241943359375,-0.7771997887641191,-0.022266234329435974,0.11699575469829142,280,0.29988735914230347,-0.03672035038471222,0.2,0.0003,0.028334886
71,122880,3,171,0.2286376953125,-0.774250379577279,-0.02187143495393684,0.14521548906341195,290,0.6987971067428589,-0.0024743080139160156,0.2,0.0003,0.019935932
16,126976,1,251,0.20390625,-0.7634480997920037,-0.02013133277214365,0.20823158053681254,300,0.7573076486587524,0.017380401492118835,0.2,0.0003,0.020152733
43,131072,2,186,0.197998046875,-0.7774915367364883,-0.014759773717378267,0.20445176465436815,310,0.7584108114242554,0.015529260039329529,0.2,0.0003,0.02139327
71,135168,3,172,0.2058837890625,-0.7726158332079649,-0.020779319942812437,0.26674291389063,320,0.7026118040084839,0.018337473273277283,0.2,0.0003,0.019925324
20,139264,1,203,0.2321533203125,-0.7608562253415585,-0.022249278440722265,0.20880935271270573,330,0.5901858806610107,0.0041807666420936584,0.2,0.0003,0.026661083
52,143360,2,155,0.2062255859375,-0.7955662183463573,-0.017335690231993793,0.23224841644987465,340,0.5262881517410278,0.056371476501226425,0.2,0.0003,0.023366138
81,147456,3,150,0.1900390625,-0.7839394014328718,-0.016440688422881065,0.19049822753295304,350,0.5526220798492432,-0.01842208206653595,0.2,0.0003,0.021047466
18,151552,1,218,0.2033203125,-0.788360208272934,-0.01660310291335918,0.21112039242871106,360,0.5824424028396606,0.0024556443095207214,0.2,0.0003,0.021527568
49,155648,2,166,0.203271484375,-0.7711006894707679,-0.013372014589549508,0.21271025408059357,370,0.3494396209716797,-0.001789238303899765,0.2,0.0003,0.022489551
79,159744,3,154,0.1884765625,-0.7845379445701838,-0.01708933192276163,0.20524330381304026,380,0.470475435256958,-0.00785014033317566,0.2,0.0003,0.019958623
17,163840,1,227,0.20224609375,-0.7795726459473371,-0.019335174452862702,0.1595215497072786,390,0.4642174243927002,0.0002075880765914917,0.2,0.0003,0.020358887
51,167936,2,160,0.2072021484375,-0.7960071880370378,-0.015874819774762728,0.16087152813561262,400,0.3800850510597229,-0.03978259861469269,0.2,0.0003,0.020200305
85,172032,3,143,0.213232421875,-0.8260343242436647,-0.019218837187509052,0.17429138803854585,410,0.31528347730636597,-0.0005385875701904297,0.2,0.0003,0.019204358
19,176128,1,212,0.1991943359375,-0.782065162062645,-0.018031270818028133,0.15631114123389125,420,0.6310580968856812,0.014680884778499603,0.2,0.0003,0.019817566
52,180224,2,157,0.20634765625,-0.8010420072823763,-0.02082012277387548,0.1973773655015975,430,0.3658725619316101,-0.0033313333988189697,0.2,0.0003,0.019482305
84,184320,3,145,0.217578125,-0.8194493889808655,-0.019306524231797084,0.16600102595984936,440,0.35906392335891724,-0.02501356601715088,0.2,0.0003,0.022593848
19,188416,1,205,0.224365234375,-0.8056550625711679,-0.020298583290423267,0.11822548354975879,450,0.42537105083465576,-0.022648844867944717,0.2,0.0003,0.022805551
