time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss
6,317440,1525,2,0.021130389,0.21041015625,0.27922219038009644,-0.04049498587846756,0.0852334536984563,610,0.0003,0.2,-0.023531033657491207,-0.8934845614433289
10,322560,1403,3,0.022970054,0.18119140625,0.1391381025314331,-0.04707682132720947,0.09468995267525315,620,0.0003,0.2,-0.02528457380249165,-0.8779005458950997
15,327680,1329,4,0.02023788,0.16779296875,0.316730797290802,-0.045789215713739395,0.0956093799509108,630,0.0003,0.2,-0.023140489817596973,-0.8295881694555283
20,332800,1272,5,0.020538267,0.1929296875,0.30676329135894775,-0.04998241737484932,0.08256381893530489,640,0.0003,0.2,-0.02252771957311779,-0.8575731238722801
24,337920,1253,6,0.02181759,0.19146484375,0.32001399993896484,-0.0550178624689579,0.09319135120138526,650,0.0003,0.2,-0.02468678100965917,-0.8499119815230369
28,343040,1243,7,0.019083526,0.18333984375,0.22235709428787231,-0.06872056424617767,0.0820000777952373,660,0.0003,0.2,-0.02643352536135353,-0.8589102602005005
33,348160,1235,8,0.021040516,0.19560546875,0.25656503438949585,-0.06840384006500244,0.06584003104828298,670,0.0003,0.2,-0.023467638022266327,-0.8588772901892662
37,353280,1218,9,0.019081417,0.18232421875,0.1315065622329712,-0.07002119719982147,0.07946335580199956,680,0.0003,0.2,-0.026795722350943834,-0.853194088935852
42,358400,1212,10,0.018924212,0.17716796875,0.23653286695480347,-0.038167454302310944,0.10082538494840264,690,0.0003,0.2,-0.023839692403562367,-0.861393686234951
2,363520,2025,1,0.02058689,0.1766796875,0.10627973079681396,-0.054262805730104446,0.09575070142745971,700,0.0003,0.2,-0.025402111541479824,-0.8571314197778702
7,368640,1389,2,0.020416819,0.196328125,-0.0325697660446167,-0.056458815932273865,0.10878488820046187,710,0.0003,0.2,-0.024022372886538506,-0.8628423792123795
12,373760,1247,3,0.020836076,0.19826171875,-0.02442765235900879,-0.06424322724342346,0.11622216243296862,720,0.0003,0.2,-0.028361196513287723,-0.9003552508354187
17,378880,1169,4,0.022463012,0.21927734375,0.03804898262023926,-0.058690011501312256,0.10163594653829933,730,0.0003,0.2,-0.0262692841514945,-0.8950782516598701
