time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/approx_kl,train/n_updates,train/learning_rate
3,373760,1573,9,0.0880078125,0.8084433078765869,0.2,-0.508657623231411,-0.0030894736526533963,0.43526232600212095,0.12098453938961029,0.009256475,360,0.0001
4,378880,1445,14,0.0862890625,0.7485065460205078,0.2,-0.442643783390522,-0.001761990999802947,0.5913789787888527,0.28589192032814026,0.010571165,365,0.0001
5,384000,1436,17,0.0652734375,0.7517743706703186,0.2,-0.41038165122270587,-0.004234638623893261,0.523169949054718,0.2543644309043884,0.0044954303,370,0.0001
6,389120,1436,21,0.066328125,0.7436587810516357,0.2,-0.3407598477602005,-0.0019330099690705537,0.4860722962021828,0.26506364345550537,0.005113392,375,0.0001
7,394240,1435,24,0.064453125,0.7584129571914673,0.2,-0.31359230756759643,-0.004318501723464579,0.4176478859782219,0.186069518327713,0.006174769,380,0.0001
8,399360,1430,28,0.0557421875,0.7956415414810181,0.2,-0.29660826340317725,-0.0042234301147982475,0.34167479157447816,0.132625013589859,0.005309835,385,0.0001
9,404480,1423,32,0.062421875,0.8469462394714355,0.2,-0.3059275645017624,-0.0027096332819201052,0.3150506727397442,0.15719138085842133,0.0046105534,390,0.0001
10,409600,1425,35,0.0516015625,0.7803720235824585,0.2,-0.29335764050483704,-0.0021359221870079635,0.4377051568031311,0.17413924634456635,0.0034407594,395,0.0001
1,414720,1980,2,0.0449609375,0.6478024125099182,0.2,-0.22165590897202492,-0.0031206617224961517,0.38814064741134646,0.1972607523202896,0.0037579197,400,0.0001
2,419840,1602,6,0.06796875,0.7506160140037537,0.2,-0.2801724614202976,-0.002000873079523444,0.39420870065689084,0.17831796407699585,0.00870761,405,0.0001
3,424960,1546,9,0.0705078125,0.7717534899711609,0.2,-0.2906587040424347,-0.0010692027769982815,0.3176781763136387,0.1041124016046524,0.0062393127,410,0.0001
4,430080,1517,13,0.0875,0.8338117003440857,0.2,-0.3169906008243561,-0.0029220614349469544,0.2857923175394535,0.1625339388847351,0.007076533,415,0.0001
5,435200,1505,17,0.0659375,0.7606072425842285,0.2,-0.24334752529859544,-0.002084728986956179,0.2781555251777172,0.11131762713193893,0.0076885386,420,0.0001
6,440320,1496,20,0.0726953125,0.8071844577789307,0.2,-0.27843836560845375,-0.0024137692502699793,0.34201590925455094,0.16631726920604706,0.008118878,425,0.0001
7,445440,1489,24,0.0687890625,0.8567150831222534,0.2,-0.2858843657374382,-0.003949583373032511,0.34740320667624475,0.1865883618593216,0.007967481,430,0.0001
8,450560,1487,27,0.0565234375,0.8103005886077881,0.2,-0.2502755279839039,-0.002052661902271211,0.3581857019662857,0.10888110101222992,0.005484513,435,0.0001
9,455680,1482,31,0.0623828125,0.8661097884178162,0.2,-0.28121972918510435,-0.0021446206467226146,0.3901875567436218,0.19055891036987305,0.006571562,440,0.0001
