time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,curriculum/stage,train/stage_learning_rate,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/explained_variance,curriculum/stage_timesteps,train/entropy_loss,train/n_updates,train/clip_fraction,curriculum/max_steps,curriculum/grid_size,train/policy_gradient_loss,train/ent_coef,curriculum/obs_quantity,eval/stage_timesteps,eval/mean_ep_length,eval/mean_reward,eval/full_coverage_rate,eval/stage,eval/std_reward,eval/deterministic,eval/std_ep_length
184320,5,36.48,17,1449,7.374635696411133,0.0614175945520401,,,0.0001,0.2,0.007302613,0.13800097800791264,0.7301185131072998,,-0.3622266101837158,175,0.0594921875,,,-0.0033374028466641903,,,,,,,,,,
189440,6,34.61,21,1427,7.509550094604492,0.035916414111852646,,,0.0001,0.2,0.009382146,0.11135285884141922,0.7708612680435181,,-0.33414178222417834,180,0.0747265625,,,-0.006002755109220743,,,,,,,,,,
194560,7,38.24,25,1415,7.308682441711426,0.06307577341794968,,,0.0001,0.2,0.009913772,0.15572165094316007,0.7124655246734619,,-0.3302588877081871,185,0.0757421875,,,-0.0016744973557069897,,,,,,,,,,
199680,8,32.57,28,1414,7.574300765991211,0.07677926868200302,,,0.0001,0.2,0.0057218797,0.15360646769404412,0.7922286987304688,,-0.3295742052793503,190,0.055390625,,,-0.00033503768034279344,,,,,,,,,,
204800,9,36.59,32,1411,7.307857036590576,0.02703246660530567,,,0.0001,0.2,0.00637367,0.10254536263644695,0.7050089836120605,,-0.2838840928673744,195,0.0587109375,,,-0.0028347080387175084,,,,,,,,,,
209920,10,33.77,36,1412,7.51702880859375,0.05961357057094574,,,0.0001,0.2,0.010406337,0.11758213445544242,0.8049070835113525,,-0.2931652358174324,200,0.0649609375,,,-0.001509193447418511,,,,,,,,,,
,,,,,,0.10023666173219681,,,0.0001,0.2,0.0044639437,0.17301645159721374,0.7550742626190186,,-0.2770356570184231,205,0.0508984375,,,0.00016015570377931,,,204800,33.63,7.536039505004883,1.0,1,0.2893260421834755,0,11.755556133165287
,,,,,,,,,,,,,,,,,,,,,,,204800,34.1,7.507556562423706,1.0,1,0.42844368973321284,0,15.20690632574555
,,,,,,,,,,,,,,,,,,,,,,,204800,34.22,7.508988347053528,1.0,1,0.42604535877280997,0,15.741397650780568
215040,1,62.73,3,1600,7.347972869873047,,,,,,,,,,,,,,,,,,,,,,,,,
220160,1,106.53,2,1977,6.966319561004639,1.5064204931259155,2,0.0002,0.0002,0.2,0.013499873,2.3473365890979765,0.3220289945602417,0,-0.508216901421547,210,0.158984375,320,8,0.0019529422419145702,0.008,8,,,,,,,,
