rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
,,,2160000,,,68.7362918138504,0.0003,31.181747436523438,-0.554607393965125,5270,0.0040966305,0.5070730447769165,0.2,-0.006193304205953609,0.0463134765625,41.86,36.88890799164772
28.343545469999995,610,47.89,2162688,3540,528,,,,,,,,,,,,
30.844727300000002,611,47.62,2166784,3546,529,75.53236138820648,0.0003,36.83710479736328,-0.6246073536574841,5280,0.0058734454,0.7872072458267212,0.2,-0.0069155854740529325,0.0607666015625,,
,,,2170000,,,80.94789230823517,0.0003,32.29756164550781,-0.652872322127223,5290,0.006602696,0.6524838209152222,0.2,-0.007827260991325602,0.0602783203125,49.32,29.428544288873674
28.417636399999996,610,50.25,2170880,3553,530,,,,,,,,,,,,
34.63127274,611,43.42,2174976,3559,531,86.69012901782989,0.0003,27.958276748657227,-0.6711520824581385,5300,0.006196035,0.6778610944747925,0.2,-0.007666155585320666,0.0627685546875,,
32.99536365,611,42.42,2179072,3564,532,111.05201830863953,0.0003,43.608394622802734,-0.6435722712427377,5310,0.005060179,0.5762463808059692,0.2,-0.009033872601867188,0.055712890625,,
,,,2180000,,,73.2091780424118,0.0003,39.20892333984375,-0.5809090949594975,5320,0.0053286003,0.6334250569343567,0.2,-0.006694602720381226,0.046923828125,38.22,39.580908035039904
37.4299091,611,40.94,2183168,3571,533,,,,,,,,,,,,
31.6298182,611,44.2,2187264,3577,534,58.03502624034881,0.0003,22.0986328125,-0.5843678664416074,5330,0.0069399234,0.5970205068588257,0.2,-0.011015203362330795,0.073388671875,,
,,,2190000,,,63.46129856109619,0.0003,25.672819137573242,-0.5917249642312526,5340,0.005511446,0.8269153833389282,0.2,-0.004380245249194559,0.0523681640625,53.76,25.526544235944748
33.71018183,611,45.18,2191360,3585,535,,,,,,,,,,,,
37.1349091,611,40.64,2195456,3590,536,60.67842950820923,0.0003,25.238645553588867,-0.6136028721928597,5350,0.006191217,0.5714811086654663,0.2,-0.007057811892445897,0.0560546875,,
34.06018183,611,44.23,2199552,3595,537,66.71100261211396,0.0003,27.669240951538086,-0.5797881051898003,5360,0.0062525417,0.6491642594337463,0.2,-0.011173665369278751,0.0745361328125,,
,,,2200000,,,70.5317899942398,0.0003,33.365203857421875,-0.5925728708505631,5370,0.0062693777,0.6783854961395264,0.2,-0.007568187355354894,0.055029296875,42.46,36.908907984495166
27.787545490000003,611,50.99,2203648,3603,538,,,,,,,,,,,,
