time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,curriculum/max_steps,train/ent_coef,train/learning_rate,curriculum/stage_timesteps,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,curriculum/grid_size,curriculum/obs_quantity,train/n_updates,curriculum/stage,train/clip_fraction,eval/full_coverage_rate,eval/mean_ep_length,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/deterministic,eval/std_reward,eval/mean_reward
7,7.162738800048828,1162,92160,45.38,30,0.12312708795070648,0.47720104455947876,,,0.0001,,-0.7225791382789611,0.009240811,-0.006255742846988142,0.3029946641623974,0.2,,,85,,0.0938671875,,,,,,,,
8,7.208812236785889,1191,97280,48.51,34,0.11916221678256989,0.3929562568664551,,,0.0001,,-0.6901228165626526,0.007649274,-0.0038903795089572668,0.25324867844581606,0.2,,,90,,0.089609375,,,,,,,,
9,7.337442398071289,1213,102400,43.5,37,0.09351947158575058,0.49801623821258545,,,0.0001,,-0.681004678606987,0.007727695,-0.00581669504288584,0.23159259915351868,0.2,,,95,,0.0792578125,,,,,,,,
10,7.137568473815918,1192,107520,48.6,42,0.08875127136707306,0.4818311333656311,,,0.0001,,-0.6479538756608964,0.0056550163,-0.004032674231566489,0.20096290782094,0.2,,,100,,0.0774609375,,,,,,,,
,,,,,,0.07919269800186157,0.53914475440979,,,0.0001,,-0.6374504965543747,0.0060456214,-0.0044578324444592,0.21456180527806282,0.2,,,105,,0.0772265625,0.66,86.72,102400,1,81.37985991632081,1,5.54605146768109,3.6792729234695436
1,7.0831522941589355,1418,112640,47.91,3,,,200,0.0010000000000000009,,102400,,,,,,5,3,,1,,,,,,,,,
2,7.271710395812988,1129,117760,43.69,9,0.0915544405579567,0.5704059600830078,,,0.0001,,-0.6238805395364762,0.006438659,-0.002891812496818602,0.22723807856440545,0.2,,,110,,0.075390625,,,,,,,,
3,7.31528377532959,1090,122880,44.1,14,0.07983221858739853,0.5237218141555786,,,0.0001,,-0.5700913900136948,0.007436283,-0.004988958393223584,0.19892607286572456,0.2,,,115,,0.0828515625,,,,,,,,
4,7.10285758972168,1141,128000,46.19,17,0.08763805031776428,0.5308728218078613,,,0.0001,,-0.5556943014264106,0.008414643,-0.004504135209135712,0.15721420638263225,0.2,,,120,,0.083125,,,,,,,,
5,7.451239109039307,1144,133120,38.18,22,0.09811920672655106,0.652339518070221,,,0.0001,,-0.564572457075119,0.005322138,-0.001585480086505413,0.19076019540429115,0.2,,,125,,0.06359375,,,,,,,,
