time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/loss,train/n_updates,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss,train/policy_gradient_loss,train/explained_variance,eval/mean_reward,eval/mean_ep_length
622,61,401,249856,46.51,34.24736364,0.08447265625,31.669586181640625,600,-0.6527634788304567,0.008600477,0.0003,0.2,81.8004088640213,-0.0015634197756298819,0.45836853981018066,,
,,,250000,,,0.0890869140625,26.47564125061035,610,-0.6653595626354217,0.00657013,0.0003,0.2,69.30682463645935,-0.00218782972660847,0.2119908332824707,33.398907923698424,47.56
621,62,408,253952,47.18,33.37481819,,,,,,,,,,,,
623,63,413,258048,53.35,27.83263638,0.0623046875,46.20981216430664,620,-0.6634103748947382,0.006583919,0.0003,0.2,79.07834439277649,-0.0028134970387327487,0.39801979064941406,,
,,,260000,,,0.05830078125,37.43351745605469,630,-0.6580119382590055,0.006947749,0.0003,0.2,82.24458873271942,-0.0034822216301108712,0.5238903760910034,22.556544185876845,58.66
621,64,421,262144,48.66,32.0558182,,,,,,,,,,,,
624,65,426,266240,48.35,32.83536365,0.0556640625,49.62778091430664,640,-0.6593152362853288,0.0053972304,0.0003,0.2,95.54903864860535,-0.0017222363996552304,0.4420511722564697,,
,,,270000,,,0.04404296875,38.183719635009766,650,-0.6632348213344812,0.0051151514,0.0003,0.2,93.348637342453,-0.0025472153414739297,0.3813773989677429,35.23090794205665,46.02
622,66,434,270336,51.29,30.02027275,,,,,,,,,,,,
624,67,439,274432,53.33,27.94363639,0.0716552734375,32.955360412597656,660,-0.6886058550328016,0.004860367,0.0003,0.2,89.97765562534332,-0.004935174134152476,0.4913472533226013,,
625,68,445,278528,48.7,32.66536365,0.055078125,46.98546600341797,670,-0.7052928566932678,0.0043550646,0.0003,0.2,95.44099140167236,-0.0015904807703918777,0.5646464824676514,,
,,,280000,,,0.0578125,33.87294387817383,680,-0.6828606374561786,0.00473726,0.0003,0.2,80.55329058170318,-0.0034873959761171137,0.4328176975250244,26.18872602105141,55.94
622,69,453,282624,51.83,29.738272750000007,,,,,,,,,,,,
624,70,459,286720,54.28,26.73736366,0.0482177734375,45.12089920043945,690,-0.6964688818901777,0.0067273146,0.0003,0.2,92.56536154747009,-0.002675253186316695,0.5080797672271729,,
,,,290000,,,0.03515625,43.04133224487305,700,-0.6965179421007633,0.0049703876,0.0003,0.2,87.19962525367737,-0.0018335379892960191,0.5114414691925049,34.92672612428665,45.88
623,71,466,290816,49.71,32.207363650000005,,,,,,,,,,,,
624,72,472,294912,45.99,35.143363640000004,0.062109375,46.983116149902344,710,-0.7158798772841692,0.0048518684,0.0003,0.2,85.11502261161804,-0.0032231600445811635,0.5314724445343018,,
626,73,477,299008,45.78,35.57945455,0.0926513671875,30.977489471435547,720,-0.6897942125797272,0.007684487,0.0003,0.2,72.72612297534943,-0.0015324321168009192,-0.031078696250915527,,
,,,300000,,,0.0748779296875,24.856365203857422,730,-0.6752058587968349,0.0056248754,0.0003,0.2,59.820384931564334,-0.006640003560460172,0.329495370388031,26.604726028442382,55.32
624,74,485,303104,52.07,29.401272750000004,,,,,,,,,,,,
626,75,490,307200,53.44,28.626818200000002,0.05673828125,26.38727378845215,740,-0.7299260005354882,0.0055358764,0.0003,0.2,63.306019353866574,-0.003795674303546548,0.475003719329834,,
,,,310000,,,0.0683837890625,38.6319580078125,750,-0.6780941385775805,0.007877168,0.0003,0.2,83.57563223838807,-0.00569907520984998,0.4250454902648926,36.68781706571579,43.22
625,76,497,311296,50.27,31.059363650000005,,,,,,,,,,,,
626,77,503,315392,52.82,27.84509094,0.0733642578125,49.012210845947266,760,-0.6569610927253962,0.0074781263,0.0003,0.2,97.9130220413208,-0.003141662814596202,0.41957807540893555,,
628,78,508,319488,55.39,26.075636399999997,0.0712646484375,40.66617965698242,770,-0.6643177982419729,0.010270424,0.0003,0.2,94.51655867099763,-0.0023625580783118495,0.5830947160720825,,
,,,320000,,,0.0549072265625,51.10173797607422,780,-0.6564591139554977,0.0051406855,0.0003,0.2,109.6333562374115,-0.0007806157605955377,0.598796010017395,25.326907851696014,51.54
627,79,515,323584,55.24,25.789090950000006,,,,,,,,,,,,
629,80,520,327680,44.12,35.95590910000001,0.0557373046875,71.81163024902344,790,-0.6515545278787613,0.0056887297,0.0003,0.2,121.82699432373047,-0.003258001744688954,0.5489325523376465,,
,,,330000,,,0.05302734375,42.4976692199707,800,-0.6314202394336462,0.006415145,0.0003,0.2,103.13845453262329,-0.001470223575597629,0.4531099200248718,30.47472607254982,50.92
627,81,528,331776,49.13,31.5148182,,,,,,,,,,,,
629,82,533,335872,49.89,28.930909100000004,0.047705078125,58.33782196044922,810,-0.6631578907370568,0.0056655905,0.0003,0.2,121.44217557907105,-0.002027669629023876,0.5878150463104248,,
630,83,538,339968,47.42,30.433818180000003,0.035205078125,46.2423210144043,820,-0.6219287056475877,0.005041198,0.0003,0.2,116.84502840042114,-0.00045464889117283744,0.26020705699920654,,
,,,340000,,,0.060205078125,43.26087188720703,830,-0.6071034435182809,0.0052357344,0.0003,0.2,100.26430277824402,-0.0026919619704131037,0.3649258613586426,28.386726059913634,52.68
629,84,546,344064,50.76,29.574636390000002,,,,,,,,,,,,
631,85,551,348160,52.67,28.088181850000005,0.081396484375,31.961849212646484,840,-0.6570435270667077,0.009655604,0.0003,0.2,78.86997306346893,-0.0014699135441333055,0.4957379102706909,,
,,,350000,,,0.0689208984375,43.342918395996094,850,-0.667067963257432,0.0054033073,0.0003,0.2,104.96179485321045,-0.002470049136900343,0.5879064798355103,38.702908009290695,40.38
630,86,558,352256,51.92,29.284727289999996,,,,,,,,,,,,
632,87,563,356352,51.32,29.748181839999997,0.0776611328125,64.19799041748047,860,-0.6639697033911943,0.007960049,0.0003,0.2,125.47462406158448,-0.00439068258201587,0.45380866527557373,,
,,,360000,,,0.0831787109375,65.49468994140625,870,-0.6686287976801395,0.0052957926,0.0003,0.2,123.09827852249146,-0.0035876295194611886,0.5303161144256592,27.194544221162797,54.3
631,88,571,360448,53.8,27.04418185,,,,,,,,,,,,
632,89,576,364544,50.47,27.86536365,0.0704345703125,62.05693817138672,880,-0.668734610825777,0.0069939494,0.0003,0.2,113.5094910621643,-0.003597073238051962,0.5436539649963379,,
633,90,581,368640,48.42,31.601636379999995,0.0622802734375,67.33342742919922,890,-0.6200506418943406,0.006662157,0.0003,0.2,115.22011427879333,-0.0005530165901291185,0.3517373204231262,,
,,,370000,,,0.073828125,48.761619567871094,900,-0.6488034382462502,0.007780278,0.0003,0.2,93.18622336387634,-0.002465428844152484,0.4478740096092224,31.537816998958586,49.52
632,91,589,372736,45.5,34.96036365,,,,,,,,,,,,
633,92,594,376832,51.67,28.683545480000003,0.0580078125,34.02851104736328,910,-0.6281541898846627,0.0064842077,0.0003,0.2,85.08305685520172,-0.0020524348597973584,0.4695010185241699,,
,,,380000,,,0.075927734375,46.936405181884766,920,-0.6545314095914364,0.009062746,0.0003,0.2,95.757417345047,-0.004944493692892138,0.4396069645881653,39.05890801787376,39.66
631,93,603,380928,49.52,30.725090930000007,,,,,,,,,,,,
631,94,609,385024,44.61,33.308,0.0651611328125,42.853050231933594,930,-0.6271590780466795,0.006958608,0.0003,0.2,86.75588519573212,-0.0023219467024318875,0.5453668236732483,,
631,95,615,389120,48.66,31.715818200000005,0.0832763671875,28.262720108032227,940,-0.5882840350270271,0.006794831,0.0003,0.2,75.72178814411163,-0.00043521831539692355,0.3123939633369446,,
,,,390000,,,0.1049560546875,34.51597213745117,950,-0.6519883543252945,0.009187411,0.0003,0.2,76.5517392396927,-0.0012049263415974565,0.4245131015777588,38.36999889135361,42.0
628,96,625,393216,49.0,31.693818199999992,,,,,,,,,,,,
628,97,632,397312,58.54,22.864454589999994,0.0684814453125,39.316246032714844,960,-0.6534453965723515,0.0075609814,0.0003,0.2,79.01573994159699,-0.004468438295589294,0.5113300085067749,,
,,,400000,,,0.09873046875,30.427413940429688,970,-0.6852572668343783,0.0074630203,0.0003,0.2,73.27550306320191,-0.0027099198967334816,0.5466142296791077,29.408726081848144,50.84
625,98,641,401408,52.12,28.23854548,,,,,,,,,,,,
626,99,647,405504,52.4,28.5157273,0.0614990234375,48.91493606567383,980,-0.6663851823657752,0.0059440415,0.0003,0.2,99.99780397415161,-0.0017693358124233783,0.533791184425354,,
627,100,653,409600,53.95,27.02918185,0.062109375,48.58209228515625,990,-0.7054735027253628,0.007915039,0.0003,0.2,114.14918808937072,-0.00029100330866640436,0.5340455770492554,,
,,,410000,,,0.05380859375,51.97786331176758,1000,-0.6990310709923506,0.006823779,0.0003,0.2,106.50527324676514,-0.0018452244847139809,0.5860108137130737,35.319817055463794,44.78
625,101,661,413696,53.81,26.873090939999994,,,,,,,,,,,,
625,102,667,417792,56.37,22.376090939999994,0.059130859375,49.809391021728516,1010,-0.7223180036991834,0.0063772723,0.0003,0.2,119.81250553131103,-0.001916792835254455,0.6105170249938965,,
,,,420000,,,0.07587890625,60.359336853027344,1020,-0.693680927157402,0.0053948928,0.0003,0.2,127.16551208496094,-0.0008707048407813999,0.5929185152053833,23.386544197797775,57.66
623,103,676,421888,58.89,18.67727275,,,,,,,,,,,,
623,104,682,425984,48.17,32.40127275,0.0498046875,64.92281341552734,1030,-0.6642870675772429,0.00496586,0.0003,0.2,178.57047500610352,-0.002270274329930544,0.537362813949585,,
,,,430000,,,0.0475830078125,54.868988037109375,1040,-0.6651890434324741,0.0055042366,0.0003,0.2,130.3551118850708,-0.000994369683030527,0.46870410442352295,22.813816924095153,53.74
621,105,691,430080,51.76,27.65836365,,,,,,,,,,,,
622,106,697,434176,48.61,31.97427275,0.048095703125,58.34601974487305,1050,-0.6201969373971223,0.0055189924,0.0003,0.2,140.12350697517394,-0.0016456523153465241,0.5983141660690308,,
