rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/loss,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,curriculum/preferred_eval_mode,train/stage_learning_rate,curriculum/max_steps,train/ent_coef,curriculum/obs_quantity,curriculum/grid_size,curriculum/stage_timesteps,curriculum/stage,eval/stage_timesteps,eval/std_reward,eval/deterministic,eval/full_coverage_rate,eval/mean_reward,eval/mean_ep_length,eval/std_ep_length,eval/stage,eval/promotion_full_coverage_rate,eval/coverage_promotion_passed,eval/quality_promotion_passed,eval/promotion_passed,eval/stochastic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_quality_passed,eval/deterministic_full_coverage_rate,eval/promotion_min_mean_reward,eval/deterministic_promotion_floor,eval/deterministic_quality_passed,eval/promotion_max_mean_length,eval/mode_gap
71.13,4,158720,257,3.504913568496704,39,-0.0013537580799311399,7e-05,-0.8800074517726898,0.8213743567466736,0.3859248459339142,0.15,1.4814548209309577,0.006198663,0.1634375,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.64,5,161280,230,4.029560565948486,55,-0.0034922810550779104,7e-05,-0.8442664176225663,0.5294008255004883,0.57080078125,0.15,1.215828936845064,0.0066595273,0.109921875,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.42,6,163840,244,4.311662197113037,62,0.003124819526618177,7e-05,-0.8607218449765985,0.7264070510864258,0.9866442084312439,0.15,1.309541707960042,0.008372542,0.1431818181818182,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.65,7,166400,234,4.590463638305664,76,-0.004276085998862982,7e-05,-0.8042453998327255,0.85996013879776,0.16716662049293518,0.15,0.9972748160362244,0.0056242608,0.098828125,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.08,8,168960,228,5.217507839202881,89,-0.001889491807669401,7e-05,-0.8061781376600266,0.8709304332733154,0.1512290984392166,0.15,0.7508847720175982,0.005423812,0.12484375,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.92,9,171520,221,4.638225078582764,104,-0.0019389945175498724,7e-05,-0.7575635063648224,0.8302474021911621,0.4143090844154358,0.15,1.0120924833416938,0.009041584,0.1290625,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.87,10,174080,215,4.416024684906006,118,-0.00035382223315536974,7e-05,-0.7946077936887741,0.8587481379508972,0.8456305265426636,0.15,1.406377853155136,0.0030829888,0.101484375,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.0023132698610424996,7e-05,-0.8011736929416656,0.8313536047935486,0.7164103984832764,0.15,1.5057049435377121,0.007347668,0.1103125,335,,,,,,,,,153600,3.900529098529623,0,0.99,5.342982061877847,53.98,29.684332567871557,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,153600,8.60065751666215,1,0.74,3.389305652976036,79.46,72.01811161089965,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,153600,,,,,,,1,0.99,1,0,0,0.99,0.99,0,0.74,6.75,0.693,0,45.0,0.25
63.58,1,176640,2179,4.162526607513428,1,,,,,,,,,,,1,7e-05,200,0.0010000000000000009,3,5,153600,1,,,,,,,,,,,,,,,,,,,,,
60.43,2,179200,362,4.692620277404785,14,-0.0017158938758075237,7e-05,-0.7828923934698104,0.7684395909309387,0.45934680104255676,0.15,1.4725906974077225,0.005600414,0.114765625,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.66,3,181760,293,5.274921417236328,26,-0.0010316706169396638,7e-05,-0.7608813613653183,0.8688719272613525,0.141640767455101,0.15,1.2167469826340676,0.011809572,0.16,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.9,4,184320,363,5.009750843048096,28,0.0060423024826579625,7e-05,-0.7332889437675476,0.8092278242111206,2.0845518112182617,0.15,1.30121691359414,0.011299829,0.1736111111111111,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.61,5,186880,305,4.6428022384643555,41,-0.0031709188129752874,7e-05,-0.7426745843887329,0.8558683395385742,0.20611216127872467,0.15,0.9702772706747055,0.0059552444,0.110390625,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
