time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss
7,2,163840,1388,0.0003,-0.8500309193134308,0.1815234375,0.09318324444815516,0.10214382410049438,0.2,310,-0.015905821127817035,0.021426246,-0.03355979919433594
11,3,168960,1312,0.0003,-0.8658988896012306,0.2008984375,0.0845225290954113,0.2779104709625244,0.2,320,-0.017338574146851898,0.020835096,-0.04239095002412796
16,4,174080,1270,0.0003,-0.8877351447939873,0.18396484375,0.08378864107653498,0.27015382051467896,0.2,330,-0.020271070105955004,0.019217297,-0.05117856338620186
20,5,179200,1223,0.0003,-0.8723452797532082,0.189140625,0.09499186726287007,0.16439247131347656,0.2,340,-0.018578598354943097,0.019033719,-0.05132504925131798
25,6,184320,1182,0.0003,-0.8752816930413246,0.18623046875,0.09732619533315301,0.07422119379043579,0.2,350,-0.019667906106915326,0.023263898,-0.03207005560398102
31,7,189440,1124,0.0003,-0.8884947547316551,0.18712890625,0.09486274387687445,0.1086391806602478,0.2,360,-0.021117178630083798,0.020610899,-0.05483116954565048
37,8,194560,1100,0.0003,-0.8847253638505935,0.19935546875,0.10846124902367592,0.056302428245544434,0.2,370,-0.021769569229800254,0.021748906,-0.021240398287773132
43,9,199680,1066,0.0003,-0.8918881604075432,0.19595703125,0.10360737815499306,0.15704703330993652,0.2,380,-0.021962731126695872,0.018491177,-0.042745236307382584
48,10,204800,1061,0.0003,-0.9231100633740426,0.20349609375,0.11205486502498388,-0.125435471534729,0.2,390,-0.021925434754230082,0.018496217,-0.04123828560113907
2,1,209920,1884,0.0003,-0.9061008444428444,0.19068359375,0.10299272542819381,0.07675093412399292,0.2,400,-0.023718098415993153,0.019723814,-0.05344555526971817
7,2,215040,1366,0.0003,-0.9075320783257484,0.19056640625,0.0886545847542584,0.19618916511535645,0.2,410,-0.019275253543164582,0.019283153,-0.05862252414226532
13,3,220160,1155,0.0003,-0.8974325877428054,0.18822265625,0.10609039807692171,-0.07674908638000488,0.2,420,-0.023075030373875052,0.020361561,-0.04741726070642471
18,4,225280,1116,0.0003,-0.9077528539299965,0.19640625,0.09024103632196784,0.2056700587272644,0.2,430,-0.026234357790090142,0.022195866,-0.06852182745933533
23,5,230400,1106,0.0003,-0.8728896656632423,0.19912109375,0.09742623588070273,0.21281403303146362,0.2,440,-0.02398551919963211,0.023747202,-0.03453991562128067
28,6,235520,1093,0.0003,-0.8971797382831573,0.21162109375,0.09565972086042165,0.14729321002960205,0.2,450,-0.023377803941257297,0.021590762,-0.07266544550657272
33,7,240640,1065,0.0003,-0.8875828877091407,0.18302734375,0.0825855353474617,0.23621946573257446,0.2,460,-0.02031902295304462,0.017183794,-0.03596191108226776
38,8,245760,1064,0.0003,-0.8922271168231964,0.18541015625,0.08585148664191365,0.2895442247390747,0.2,470,-0.020696960515342654,0.019209385,-0.03970464691519737
43,9,250880,1061,0.0003,-0.9055074685811997,0.1759765625,0.08641740659251809,0.31270426511764526,0.2,480,-0.024510357547551393,0.019972803,-0.04991902410984039
48,10,256000,1050,0.0003,-0.9309783989191055,0.21599609375,0.08378672303631901,-0.05543065071105957,0.2,490,-0.02565759139601141,0.021153381,-0.053747259080410004
2,1,261120,1885,0.0003,-0.9079628419876099,0.24322265625,0.07871259840205312,0.15113836526870728,0.2,500,-0.02603800647892058,0.022559231,-0.057026129215955734
7,2,266240,1295,0.0003,-0.8809602484107018,0.221640625,0.08889788514003158,0.30085939168930054,0.2,510,-0.02556816298980266,0.022686964,-0.054386481642723083
12,3,271360,1190,0.0003,-0.8762796202301979,0.19099609375,0.09661324935033917,0.25234848260879517,0.2,520,-0.017726274933665992,0.019939428,-0.029582016170024872
17,4,276480,1172,0.0003,-0.8965835753083229,0.18583984375,0.06261572889052332,0.44609832763671875,0.2,530,-0.0233729930059053,0.019727424,-0.07830788195133209
22,5,281600,1136,0.0003,-0.881397179365158,0.1854296875,0.09420066621154546,0.346110463142395,0.2,540,-0.023086834889836608,0.021841215,-0.05779648199677467
27,6,286720,1117,0.0003,-0.8697333931922913,0.2001171875,0.07296059055253863,0.5537745952606201,0.2,550,-0.02183159253327176,0.019670498,-0.05824911966919899
32,7,291840,1098,0.0003,-0.8715317031741142,0.186875,0.07883608492091299,0.4486458897590637,0.2,560,-0.02398239818168804,0.021291388,-0.06496136635541916
37,8,296960,1095,0.0003,-0.8781795027852058,0.19072265625,0.08859091430902481,0.41059035062789917,0.2,570,-0.023300020270980895,0.022369217,-0.047753095626831055
41,9,302080,1097,0.0003,-0.8452249085903167,0.1814453125,0.09756888590753078,0.3146679401397705,0.2,580,-0.023956990223377942,0.019183345,-0.04446117952466011
46,10,307200,1097,0.0003,-0.8688545748591423,0.19166015625,0.12697282424196601,0.18509960174560547,0.2,590,-0.023846357276197522,0.020297365,-0.049853209406137466
2,1,312320,2038,0.0003,-0.9029425731301308,0.21330078125,0.1389167306944728,-0.033885836601257324,0.2,600,-0.02654066347517073,0.025439968,-0.03677992895245552
7,2,317440,1334,0.0003,-0.9120740535855293,0.217265625,0.12863946774974466,0.08249902725219727,0.2,610,-0.02483499825466424,0.021319797,-0.038567863404750824
12,3,322560,1233,0.0003,-0.918350775539875,0.16640625,0.10793685095384717,0.2884353995323181,0.2,620,-0.022489051485899837,0.018142859,-0.049623023718595505
18,4,327680,1080,0.0003,-0.9084268623590469,0.19755859375,0.11782530313357711,0.27262014150619507,0.2,630,-0.02622692354489118,0.018796433,-0.05410902947187424
25,5,332800,997,0.0003,-0.9459762927889824,0.208125,0.08979655368253589,0.4077985882759094,0.2,640,-0.023850862197577954,0.022162935,-0.06105387955904007
31,6,337920,981,0.0003,-0.9080925622582435,0.20513671875,0.08952659141272307,0.39053869247436523,0.2,650,-0.026235889566596598,0.020721082,-0.05680102854967117
36,7,343040,978,0.0003,-0.9270512917637825,0.21080078125,0.10415424715727567,0.39092016220092773,0.2,660,-0.028981280378066004,0.02333432,-0.059095799922943115
41,8,348160,983,0.0003,-0.9323312082886696,0.2026171875,0.103220530487597,0.26933616399765015,0.2,670,-0.029946203199215232,0.02089035,-0.04881233721971512
46,9,353280,990,0.0003,-0.9264093133807182,0.21107421875,0.11304201500490307,0.32713091373443604,0.2,680,-0.027961476999334992,0.018739037,-0.04753688722848892
51,10,358400,988,0.0003,-0.9135928457975387,0.20009765625,0.0863299081288278,0.4429091215133667,0.2,690,-0.024853823464363812,0.019036029,-0.06942649185657501
2,1,363520,1726,0.0003,-0.9008925184607506,0.188671875,0.10050452103838324,0.2895163297653198,0.2,700,-0.022686760015785692,0.020401713,-0.043598324060440063
7,2,368640,1314,0.0003,-0.9087744018435479,0.1769140625,0.09218069843947888,0.4729583263397217,0.2,710,-0.023594003990292548,0.018965218,-0.04522806033492088
12,3,373760,1218,0.0003,-0.89165398478508,0.20341796875,0.0952079102024436,0.4468335509300232,0.2,720,-0.0292941864579916,0.02261167,-0.06493524461984634
17,4,378880,1181,0.0003,-0.9016475418210029,0.198046875,0.10594942567870021,0.27818650007247925,0.2,730,-0.028070702247787266,0.020288978,-0.07221928238868713
22,5,384000,1162,0.0003,-0.8983333170413971,0.196484375,0.09460294438526035,0.33720409870147705,0.2,740,-0.027394817359745503,0.0193553,-0.051942840218544006
26,6,389120,1160,0.0003,-0.9061740756034851,0.18455078125,0.10724153464660048,0.3207205533981323,0.2,750,-0.02550388004630804,0.019269167,-0.051465876400470734
31,7,394240,1149,0.0003,-0.906654768884182,0.2042578125,0.08829153474420309,0.4459628462791443,0.2,760,-0.029394584826659412,0.019830704,-0.07178838551044464
35,8,399360,1150,0.0003,-0.9326833140850067,0.19552734375,0.08648664630949497,0.4940362572669983,0.2,770,-0.026903513218276203,0.021051984,-0.04868640750646591
40,9,404480,1149,0.0003,-0.9427781397104263,0.1903515625,0.06860218141227961,0.4248061776161194,0.2,780,-0.027231233180500566,0.019413708,-0.06314759701490402
45,10,409600,1136,0.0003,-0.9375259986519814,0.211171875,0.08982858516275882,0.5323034524917603,0.2,790,-0.029409610687289388,0.018728754,-0.07430672645568848
2,1,414720,2091,0.0003,-0.8972617489099503,0.2218359375,0.09292865304276347,0.3895120620727539,0.2,800,-0.03407264583278447,0.023361918,-0.08506383001804352
6,2,419840,1523,0.0003,-0.9039000031352044,0.20453125,0.0932316155359149,0.41448456048965454,0.2,810,-0.026955087673850357,0.020017019,-0.056668058037757874
11,3,424960,1387,0.0003,-0.8834486743807792,0.19224609375,0.08635702265426516,0.5150439143180847,0.2,820,-0.022463670693105085,0.019128863,-0.04330185800790787
15,4,430080,1332,0.0003,-0.9007500973343849,0.18771484375,0.08376493919640779,0.43995314836502075,0.2,830,-0.03054234948474914,0.018690811,-0.07873527705669403
19,5,435200,1287,0.0003,-0.9055139064788819,0.2078515625,0.08604145161807537,0.4914401173591614,0.2,840,-0.03094200216466561,0.021163423,-0.07366310060024261
24,6,440320,1261,0.0003,-0.9112584528326988,0.204140625,0.07408730817958713,0.520166277885437,0.2,850,-0.03039586733095348,0.021472786,-0.06941225379705429
28,7,445440,1238,0.0003,-0.8966209051012993,0.204453125,0.093351563308388,0.5499146580696106,0.2,860,-0.03248187939170748,0.021150755,-0.07178883254528046
34,8,450560,1175,0.0003,-0.907632178068161,0.19611328125,0.07200952262617648,0.58995521068573,0.2,870,-0.029651163627859203,0.018813826,-0.07188083976507187
39,9,455680,1158,0.0003,-0.9034704548120499,0.19849609375,0.0795592825114727,0.5743631720542908,0.2,880,-0.03237319538835436,0.020633375,-0.0685901865363121
44,10,460800,1153,0.0003,-0.864215726852417,0.17638671875,0.08689508670940996,0.5461581349372864,0.2,890,-0.030140123879536986,0.020091651,-0.04873277246952057
2,1,465920,1915,0.0003,-0.8938795772194862,0.19849609375,0.08181817578151822,0.5481252074241638,0.2,900,-0.030637008636258543,0.02394206,-0.07129442691802979
7,2,471040,1384,0.0003,-0.8748632502555848,0.2189453125,0.0907760907150805,0.42415207624435425,0.2,910,-0.0331533791590482,0.0208261,-0.04977251589298248
12,3,476160,1271,0.0003,-0.8698600208759308,0.21927734375,0.10123907368630171,0.29649806022644043,0.2,920,-0.032584292104002086,0.021754572,-0.08165020495653152
16,4,481280,1220,0.0003,-0.861718867123127,0.21322265625,0.08863042121753097,0.33768516778945923,0.2,930,-0.033067334715742615,0.022243833,-0.06298425793647766
21,5,486400,1195,0.0003,-0.8616848185658454,0.2028125,0.08791989896446467,0.07645297050476074,0.2,940,-0.030689841560088096,0.022660319,-0.07327471673488617
26,6,491520,1176,0.0003,-0.8236557725071907,0.205390625,0.11293735204264521,0.1949167251586914,0.2,950,-0.03249378671403974,0.019848999,-0.06980326026678085
30,7,496640,1165,0.0003,-0.8454026198387146,0.20181640625,0.09868597023189069,0.11395972967147827,0.2,960,-0.02988454480888322,0.020995446,-0.05858217179775238
35,8,501760,1153,0.0003,-0.8776773768663406,0.200078125,0.11653683420270682,0.059641242027282715,0.2,970,-0.03249519210541621,0.021062318,-0.05962374433875084
40,9,506880,1142,0.0003,-0.8767957943677902,0.2290625,0.1014436037093401,0.05833512544631958,0.2,980,-0.033295332230627535,0.022321187,-0.06411024183034897
45,10,512000,1134,0.0003,-0.8820790353417397,0.2111328125,0.09701417017728091,0.27979719638824463,0.2,990,-0.03296539359726012,0.020305943,-0.059711944311857224
2,1,517120,2073,0.0003,-0.899049089550972,0.2234375,0.12307220054790377,-0.16012930870056152,0.2,1000,-0.032420620277989656,0.0221265,-0.05089462548494339
6,2,522240,1467,0.0003,-0.876684302687645,0.21837890625,0.11848857559263706,0.18225347995758057,0.2,1010,-0.03291690271580592,0.022892114,-0.05379406362771988
