time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/stage_learning_rate,curriculum/grid_size,curriculum/stage_timesteps,curriculum/stage,curriculum/preferred_eval_mode,train/ent_coef,curriculum/obs_quantity,curriculum/max_steps,plasticity/total_weight_units,plasticity/low_weight_units,plasticity/weight_rms,plasticity/weight_max_abs,plasticity/low_weight_unit_ratio,plasticity/weight_abs_mean,plasticity/effective_rank_99_mean,plasticity/effective_rank_99_normalized_mean,eval/full_coverage_rate,eval/deterministic,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/mean_reward,eval/mean_ep_length,eval/std_reward,eval/deterministic_full_coverage_rate,eval/promotion_min_mean_reward,eval/stochastic_quality_passed,eval/quality_promotion_passed,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/deterministic_quality_passed,eval/promotion_max_mean_length,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/mode_gap,eval/promotion_passed,eval/deterministic_promotion_floor
39,2,157.66,256,-3.8046114444732666,133120,7e-05,0.08,0.0020810056,0.1424072265625,200,0.34846001863479614,0.026552919298410416,-1.2220355875790119,-0.0021222651659627443,0.763872137585713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3,159.29,191,-3.383711338043213,138240,7e-05,0.08,0.0024479856,0.1777099609375,208,0.3598470687866211,0.01677018217742443,-1.2077002190053463,-0.0010708820089348591,0.5633238550217357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,4,159.13,160,-3.5319933891296387,143360,7e-05,0.08,0.0019052956,0.177685546875,216,0.307917058467865,0.02145802229642868,-1.2075799267739058,-0.0012591286751558073,0.8338430973963114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,5,154.68,153,-3.879774808883667,148480,7e-05,0.08,0.0017926529,0.1341064453125,224,0.39503347873687744,0.006630519405007362,-1.2075716245919466,-0.001831226707145106,0.5937150859244866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0021430154,0.1870361328125,232,0.316061794757843,0.3931733965873718,-1.1864169016480446,-0.0003163366112858057,1.0802862246346194,,,,,,,,,1925,0,0.0270004539831539,0.971611738204956,0.0,0.013200400802638622,134.91666666666666,0.9526909722222222,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0,128000,1,53.61692270169933,-2.8416028298065066,146.84,4.921076954489233,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1,128000,1,28.77944405300422,-3.850015605688095,194.94,2.724754733730177,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128000,1,,,,,0.03,6.75,0,0,0,0.61,0,45.0,0.61,0.61,0.58,0,0.6649999999999999
2,1,152.51,2376,-4.060300827026367,153600,,,,,,,,,,,7e-05,5,128000,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,146.99,239,-4.283726692199707,158720,7e-05,0.08,0.0017597338,0.121923828125,240,0.4248000979423523,1.1264240741729736,-1.1927417352795602,-0.001988150407851208,0.8758913031342672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,3,146.81,184,-3.6167068481445312,163840,7e-05,0.08,0.00167488,0.21357421875,248,0.3598030209541321,0.0022799959406256676,-1.181177405640483,0.0013236837112344801,1.2870700407482218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,4,141.19,167,-3.4257020950317383,168960,7e-05,0.08,0.0035002567,0.19072265625,256,0.3796342611312866,0.036758217960596085,-1.186391532421112,-0.0003613167224102654,1.0636176650237759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,5,136.48,157,-2.7066240310668945,174080,7e-05,0.08,0.0016432886,0.1515869140625,264,0.31375640630722046,1.1309617757797241,-1.1628129240125418,-0.0011814302590209991,1.34412384974421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0015594705,0.1107666015625,272,0.34359365701675415,0.03271648287773132,-1.1672130096703768,-0.0009113981272093951,1.6274783226428553,,,,,,,,,1925,3,0.025153927173215265,0.9763393998146057,0.0015584415584415584,0.01182153685873948,131.58333333333334,0.9391276041666666,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0,153600,1,55.857661963243686,-2.823689395189285,135.96,5.5332104370792115,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,1,153600,1,17.611277636787175,-4.442792064547539,198.23,2.8173171661910077,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600,1,,,,,0.01,6.75,0,0,0,0.71,0,45.0,0.71,0.71,0.7,0,0.6649999999999999
1,1,132.46,2717,-2.5737578868865967,179200,,,,,,,,,,,7e-05,5,153600,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,138.49,244,-2.6984610557556152,184320,7e-05,0.08,0.0013533103,0.1216064453125,280,0.446651816368103,0.029524365440011024,-1.1765286944806577,-0.0018405721595627256,1.1448728791845497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,3,140.2,171,-2.401085376739502,189440,7e-05,0.08,0.0017726086,0.164501953125,288,0.410319447517395,2.477750301361084,-1.1635963995009662,-0.0014999228034866974,1.2550657486281125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,4,141.49,158,-3.2899787425994873,194560,7e-05,0.08,0.0017379064,0.193701171875,296,0.3673411011695862,1.2161521911621094,-1.1654287092387676,0.00041772454569581895,1.105755679908907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,5,132.9,151,-3.0378453731536865,199680,7e-05,0.08,0.0012442938,0.1319580078125,304,0.41225695610046387,0.0553683340549469,-1.1528462830930948,-0.001044371016905643,1.2797970712752431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0018635498,0.123486328125,312,0.36637043952941895,0.009663320146501064,-1.1485550221055747,-0.0010097187536302955,1.3847361180582083,,,,,,,,,1925,6,0.023641875387447293,0.9758174419403076,0.003116883116883117,0.010729903813463174,127.5,0.9216579861111112,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0,179200,1,59.095024325234014,-1.4916107611358165,131.09,4.951034237600478,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1,179200,1,41.82496264194388,-3.457428898215294,188.55,3.38874026964743,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179200,1,,,,,0.07,6.75,0,0,0,0.67,0,45.0,0.67,0.67,0.6000000000000001,0,0.6649999999999999
1,1,133.33,2629,-2.4975345134735107,204800,,,,,,,,,,,7e-05,5,179200,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,126.21,241,-1.6083993911743164,209920,7e-05,0.08,0.0018793627,0.1962646484375,320,0.4053468108177185,0.04005593806505203,-1.1537601944059133,-0.0005415026855189354,1.7234362265910022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,3,122.8,187,-1.7316725254058838,215040,7e-05,0.08,0.0014669744,0.1369384765625,328,0.42658060789108276,0.0822487398982048,-1.1432009764015674,-0.0007426930736983195,1.6289786961860955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
