time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/clip_range,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction
47,1083,512000,10,0.2,0.002187661826610565,0.022742596,0.10813170671463013,0.0003,990,-0.5631365770101547,-0.025968001501169055,0.15194278337061407,0.18705078125
2,1723,517120,1,0.2,0.0028332285583019257,0.024542678,0.0629228949546814,0.0003,1000,-0.5477163358032704,-0.024735473298933358,0.11914131041616201,0.18703125
8,1237,522240,2,0.2,-0.01167723536491394,0.025801089,0.25945645570755005,0.0003,1010,-0.5393941687047481,-0.027546350040938705,0.10709083635360002,0.17357421875
13,1141,527360,3,0.2,-0.00858854129910469,0.024638893,0.2049456238746643,0.0003,1020,-0.5690094539523125,-0.024193178657442332,0.11796445339918137,0.17962890625
18,1102,532480,4,0.2,0.01491038128733635,0.026729032,0.3722143769264221,0.0003,1030,-0.513277143239975,-0.027631397549994288,0.14660986308008433,0.18662109375
23,1076,537600,5,0.2,0.0067969635128974915,0.020952608,0.445067822933197,0.0003,1040,-0.47457331225275995,-0.021689326069317758,0.1283284555003047,0.151875
28,1061,542720,6,0.2,0.0008877217769622803,0.021741653,0.2501521706581116,0.0003,1050,-0.4879067599773407,-0.02419286532793194,0.14304698795080184,0.1641796875
34,1044,547840,7,0.2,-0.00864025205373764,0.019989636,0.4344477653503418,0.0003,1060,-0.5005402734875679,-0.021667234399355948,0.12510997824370862,0.1596875
38,1055,552960,8,0.2,0.015543382614850998,0.019937912,0.34694671630859375,0.0003,1070,-0.5379805715382099,-0.023358623776584864,0.140965372659266,0.1701171875
44,1035,558080,9,0.2,-0.003160949796438217,0.020587873,0.49011367559432983,0.0003,1080,-0.49697420597076414,-0.023303175205364825,0.1312991662696004,0.1615625
50,1022,563200,10,0.2,0.013249523937702179,0.022932712,0.5408881902694702,0.0003,1090,-0.4954562106728554,-0.026320219151675702,0.1552260647714138,0.16306640625
2,2084,568320,1,0.2,-0.005264315754175186,0.021923393,0.6553295254707336,0.0003,1100,-0.4967737747728825,-0.024680539467372,0.13878485873341562,0.16125
7,1423,573440,2,0.2,-0.0020289346575737,0.024981791,0.4409080147743225,0.0003,1110,-0.45438817128539083,-0.02387292806059122,0.14830259799957277,0.14873046875
12,1217,578560,3,0.2,0.015788927674293518,0.022263259,0.2991713881492615,0.0003,1120,-0.49159484133124354,-0.025683331554755568,0.16740103993564845,0.1666015625
18,1124,583680,4,0.2,0.025201503187417984,0.023350295,0.1609504222869873,0.0003,1130,-0.5008777356147767,-0.02527967795962468,0.15130286548286676,0.16658203125
24,1027,588800,5,0.2,-0.02984539605677128,0.028529529,0.17113566398620605,0.0003,1140,-0.5103102700412273,-0.027763194458093495,0.10078842500224709,0.18486328125
31,964,593920,6,0.2,-0.00788002461194992,0.025195453,0.05895203351974487,0.0003,1150,-0.5006820780038833,-0.028074277129489927,0.1080910156480968,0.17064453125
37,955,599040,7,0.2,-0.02901967614889145,0.025805706,0.4459386467933655,0.0003,1160,-0.5112197342514991,-0.02733827515039593,0.09110466299578547,0.18326171875
43,939,604160,8,0.2,-0.016326986253261566,0.021041576,0.3685392141342163,0.0003,1170,-0.4985959921777248,-0.027058546040207146,0.1083362758718431,0.1678515625
48,942,609280,9,0.2,0.0001750364899635315,0.024153251,0.4993535876274109,0.0003,1180,-0.4863070733845234,-0.022014818028546868,0.11543119693174958,0.1710546875
54,941,614400,10,0.2,-0.017812032252550125,0.027274886,0.31097841262817383,0.0003,1190,-0.46597040846943855,-0.02514909690245986,0.10912518478929996,0.16501953125
2,2272,619520,1,0.2,-0.025045067071914673,0.021263674,0.27296268939971924,0.0003,1200,-0.49496016278862953,-0.027356819042470306,0.11633350141346455,0.16740234375
6,1593,624640,2,0.2,0.006633918732404709,0.022217253,0.4010516405105591,0.0003,1210,-0.49622268676757814,-0.024051894845906644,0.1285603602603078,0.17322265625
10,1418,629760,3,0.2,-0.021189294755458832,0.029302448,0.05889332294464111,0.0003,1220,-0.45842745259404183,-0.0243016630387865,0.09326739870011806,0.15919921875
15,1326,634880,4,0.2,-0.027346666902303696,0.028116662,0.3037876486778259,0.0003,1230,-0.49946363940835,-0.03208154772641137,0.09991718869656324,0.2070703125
19,1311,640000,5,0.2,-0.03137584403157234,0.02593792,0.46100521087646484,0.0003,1240,-0.4805986697971821,-0.029508565852884205,0.0857014187052846,0.1754296875
23,1311,645120,6,0.2,-0.020480696111917496,0.02515677,0.38385313749313354,0.0003,1250,-0.44773207426071165,-0.026750398410949856,0.1094602395221591,0.1658984375
27,1289,650240,7,0.2,-0.008146099746227264,0.022356184,0.49373769760131836,0.0003,1260,-0.48039267063140867,-0.028063738797791303,0.1481854908913374,0.17068359375
32,1270,655360,8,0.2,-0.013898219913244247,0.02318901,0.40500372648239136,0.0003,1270,-0.47100706964731215,-0.027996894996613265,0.12072463082149625,0.1669921875
36,1252,660480,9,0.2,-0.03805378079414368,0.026409423,0.4943121671676636,0.0003,1280,-0.4385818947851658,-0.028603029171936214,0.10483416011556983,0.17625
41,1244,665600,10,0.2,-0.03837493062019348,0.0249634,0.38559818267822266,0.0003,1290,-0.46482035964727403,-0.028251364163588734,0.09763502044603228,0.168828125
2,2133,670720,1,0.2,-0.011612385511398315,0.027782222,0.30970364809036255,0.0003,1300,-0.4867589965462685,-0.02906419040169567,0.14851021882146598,0.1808984375
7,1446,675840,2,0.2,-0.0021462738513946533,0.023835074,0.28025418519973755,0.0003,1310,-0.4647574135661125,-0.02618818215560168,0.11863825604319572,0.14798828125
12,1247,680960,3,0.2,-0.026392381638288498,0.025459934,0.35223233699798584,0.0003,1320,-0.49889964997768405,-0.025055638016201556,0.09479650635272265,0.1695703125
