time/time_elapsed,time/iterations,curriculum/grid_size,curriculum/stage,rollout/ep_rew_mean,time/total_timesteps,curriculum/obs_quantity,curriculum/stage_timesteps,train/ent_coef,rollout/ep_len_mean,time/fps,curriculum/max_steps,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/clip_fraction,eval/stage,eval/full_coverage_rate,eval/mean_reward,eval/mean_ep_length,eval/deterministic,eval/std_ep_length,eval/std_reward,eval/stage_timesteps
7,2,,,7.388139724731445,1597440,,,,98.94,1387,,1555,0.0001,0.39968791872262954,-0.0015702698007225991,0.211811363697052,0.7013875246047974,0.005785437,0.2,-0.17307574644684792,0.058515625,,,,,,,,
11,3,,,7.617828845977783,1602560,,,,90.64,1349,,1560,0.0001,0.4038264924287796,-0.00396823117043823,0.1799176037311554,0.6565966606140137,0.004995668,0.2,-0.17953877672553062,0.0555078125,,,,,,,,
16,4,,,7.649295806884766,1607680,,,,88.5,1268,,1565,0.0001,0.2846370787918568,-0.0027514085406437514,0.13257978856563568,0.47662216424942017,0.0035405657,0.2,-0.11080248340964317,0.0326953125,,,,,,,,
20,5,,,7.67342472076416,1612800,,,,86.41,1238,,1570,0.0001,0.2859526450932026,-0.003116361191496253,0.1441066414117813,0.5402532815933228,0.0048504565,0.2,-0.13742861472070217,0.0391015625,,,,,,,,
24,6,,,7.489969253540039,1617920,,,,92.3,1240,,1575,0.0001,0.21162231266498566,-0.0020701426127925516,0.08413868397474289,0.49305880069732666,0.003882669,0.2,-0.10742112323641777,0.032734375,,,,,,,,
29,7,,,7.384588241577148,1623040,,,,96.27,1230,,1580,0.0001,0.20017703101038933,-0.002695851274766028,0.08523552864789963,0.5784763097763062,0.0051248423,0.2,-0.18316297098994255,0.0469140625,,,,,,,,
33,8,,,7.357075214385986,1628160,,,,93.64,1208,,1585,0.0001,0.1644029227644205,-0.0026728275604546072,0.06868278235197067,0.6843582391738892,0.0033402424,0.2,-0.15928045518696307,0.0365625,,,,,,,,
37,9,,,7.6322855949401855,1633280,,,,85.81,1215,,1590,0.0001,0.19268965616822242,-0.004022232117131352,0.08170966804027557,0.7077385783195496,0.00746368,0.2,-0.16049886673688887,0.0431640625,,,,,,,,
42,10,,,7.627377986907959,1638400,,,,87.03,1195,,1595,0.0001,0.17916319943964482,-0.00341293727979064,0.08814544230699539,0.5412455797195435,0.005815034,0.2,-0.10804609164595604,0.0365625,,,,,,,,
,,,,,,,,,,,,1600,0.0001,0.16531032845377922,-0.004685663359705359,0.08147121965885162,0.7006517648696899,0.0049892315,0.2,-0.12778623335063458,0.0380078125,2,0.7,4.978594500124455,148.46,1,113.51981501042009,4.36173006773945,768000
2,1,8,2,7.4064717292785645,1643520,8,768000,0.001,94.75,1788,320,,,,,,,,,,,,,,,,,,
7,2,,,7.25173807144165,1648640,,,,97.9,1321,,1605,0.0001,0.19517930179834367,-0.004191490761004388,0.074558325111866,0.7737734913825989,0.007968136,0.2,-0.1987103809416294,0.0521875,,,,,,,,
12,3,,,7.661273956298828,1653760,,,,84.09,1214,,1610,0.0001,0.19441819697618484,-0.002051166016608477,0.09216523170471191,0.816210150718689,0.0046596904,0.2,-0.1585706090927124,0.0357421875,,,,,,,,
