cbp/utility_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,cbp/target_count,rollout/ep_rew_mean,cbp/total_replacements,cbp/last_replacements,time/fps,cbp/rollout_replacements,time/time_elapsed,train/approx_kl,train/clip_fraction,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_range,train/loss,curriculum/preferred_eval_mode,curriculum/stage,curriculum/obs_quantity,train/stage_learning_rate,curriculum/grid_size,train/ent_coef,curriculum/max_steps,curriculum/stage_timesteps,plasticity/weight_max_abs,plasticity/effective_rank_99_mean,plasticity/weight_rms,plasticity/total_weight_units,plasticity/effective_rank_99_normalized_mean,plasticity/low_weight_units,plasticity/weight_abs_mean,plasticity/low_weight_unit_ratio,eval/deterministic,eval/std_reward,eval/std_ep_length,eval/mean_reward,eval/stage,eval/stage_timesteps,eval/full_coverage_rate,eval/mean_ep_length,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_quality_passed,eval/mode_gap,eval/coverage_promotion_passed,eval/promotion_passed,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/deterministic_full_coverage_rate,eval/deterministic_quality_passed,eval/deterministic_promotion_floor,eval/stochastic_full_coverage_rate,eval/promotion_min_mean_reward
0.2651249517997106,,,,6,,30,0,,,,0.0017846528,0.15693359375,0.6180438050767407,-1.2300746645778418,-0.003915426917956211,192,0.3624234199523926,7e-05,0.08,0.02923627197742462,,,,,,,,,1.0102660655975342,137.91666666666666,0.02964082395603821,1925,0.96484375,0,0.01539944496354731,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.618978831414479,52.91140141784189,-2.5534331461787225,1,102400,0.72,131.06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.3647890674930485,48.61585235291057,-2.9712682342529297,1,102400,0.1,183.83,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,102400,,,0.72,0.72,0,0.62,0,0,0,45.0,0.1,0,0.0,0.72,6.0
0.28131452947854996,147.65,128000,1,6,-2.966695547103882,36,6,2218,6,2,,,,,,,,,,,1,1,3,7e-05,5,0.0010000000000000009,200,102400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28131452947854996,138.57,133120,2,6,-2.786203384399414,36,0,245,0,41,0.0028120312,0.1966064453125,1.1257757184299408,-1.2163132142275572,-0.0018912800223915838,200,0.303472638130188,7e-05,0.08,1.6500331163406372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28131452947854996,134.88,138240,3,6,-2.918776035308838,36,0,180,0,85,0.0015599938,0.1491943359375,1.657151750533376,-1.1919209446758032,-0.001831125906028319,208,0.2536091208457947,7e-05,0.08,1.803206205368042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28131452947854996,135.66,143360,4,6,-2.9625344276428223,36,0,167,0,122,0.0024891696,0.1845458984375,1.3220781272742896,-1.198709375038743,-0.00041411089041503145,216,0.3616179823875427,7e-05,0.08,2.161818265914917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2701309695839882,140.87,148480,5,6,-2.8014590740203857,42,6,154,6,165,0.0019153379,0.185205078125,1.1616734216164333,-1.2000687718391418,-0.0018277686933288351,224,0.4817679524421692,7e-05,0.08,0.06488914042711258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2701309695839882,,,,6,,42,6,,,,0.0030466493,0.1870361328125,1.4310336943890434,-1.1881424911320209,-0.0020863385245320385,232,0.46272850036621094,7e-05,0.08,0.051626529544591904,,,,,,,,,1.0088235139846802,135.91666666666666,0.027443891428239248,1925,0.9549696180555555,1,0.013517018581780815,0.0005194805194805195,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.4862001986643865,52.74030337417486,-1.0305145193217322,1,128000,0.8,113.02,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.542245465352602,55.19122756380765,-2.8555659365653994,1,128000,0.14,177.78,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,128000,,,0.8,0.8,0,0.66,0,0,0,45.0,0.14,0,0.0,0.8,6.0
0.2701309695839882,126.38,153600,1,6,-1.9318431615829468,42,0,2096,0,2,,,,,,,,,,,1,1,3,7e-05,5,0.0010000000000000009,200,128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2701309695839882,122.96,158720,2,6,-1.9729629755020142,42,0,246,0,41,0.0019628548,0.130908203125,1.6124638656969181,-1.1822822127491235,-0.0018484149419236927,240,0.4213002920150757,7e-05,0.08,0.24653412401676178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2701309695839882,119.75,163840,3,6,-2.292465925216675,42,0,188,0,81,0.0021770895,0.1473388671875,1.3338682180503383,-1.177736498042941,-0.002534755720989779,248,0.47207820415496826,7e-05,0.08,1.7547492980957031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25433460374673206,112.32,168960,4,6,-1.8549683094024658,48,6,120,6,170,0.0014711795,0.1320068359375,1.5482420239481143,-1.182538541033864,-0.0019859551182889847,256,0.49765855073928833,7e-05,0.08,0.5412108898162842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25433460374673206,110.46,174080,5,6,-1.3863316774368286,48,0,110,0,230,0.0015298259,0.140283203125,1.4726557215908542,-1.178062890097499,-0.0019383137841941789,264,0.5652201771736145,7e-05,0.08,0.13573329150676727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25433460374673206,,,,6,,48,0,,,,0.0019154185,0.172998046875,1.3808311073924415,-1.1736246388405562,-0.0007085595658281818,272,0.6080360412597656,7e-05,0.08,0.24439400434494019,,,,,,,,,1.0047461986541748,133.66666666666666,0.025451296399717542,1925,0.9436848958333334,2,0.01184124302553105,0.001038961038961039,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.118191301080104,55.54401767967455,0.5985671679675579,1,153600,0.8,101.61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.22385993426616,74.44515833820222,-0.007057167887687683,1,153600,0.34,146.72,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,153600,,,0.8,0.8,0,0.46,0,0,0,45.0,0.34,0,0.0,0.8,6.0
0.25433460374673206,110.79,179200,1,6,-0.8233640789985657,48,0,1775,0,2,,,,,,,,,,,1,1,3,7e-05,5,0.0010000000000000009,200,153600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25433460374673206,104.11,184320,2,6,0.4418710470199585,48,0,226,0,45,0.002028163,0.1549072265625,1.6331086331047118,-1.1618026725947856,-0.0012751990550896152,280,0.5764508247375488,7e-05,0.08,2.7908475399017334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24967463066180548,103.21,189440,3,6,-0.026821451261639595,54,6,180,6,85,0.0016978575,0.1688232421875,1.754936746112071,-1.1608460076153277,-0.001723607575695496,288,0.6151145100593567,7e-05,0.08,0.03282830864191055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24967463066180548,103.52,194560,4,6,-0.5501198172569275,54,0,165,0,124,0.0014598768,0.1611572265625,1.8266045475844295,-1.1543313894420861,-0.0008023575966944918,296,0.6408069133758545,7e-05,0.08,1.2434818744659424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24967463066180548,90.23,199680,5,6,0.3503539264202118,54,0,159,0,160,0.0015599903,0.169580078125,2.152696835133247,-1.1470025658607483,-0.0010663391469279305,304,0.6216856241226196,7e-05,0.08,1.6641186475753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24967463066180548,,,,6,,54,0,,,,0.0023123727,0.1576416015625,2.403908290201798,-1.1283568430691957,-0.0020319788018241525,312,0.4716995358467102,7e-05,0.08,0.07095099240541458,,,,,,,,,1.0055198669433594,130.83333333333334,0.023686210245444712,1925,0.9310980902777778,6,0.010474788031085138,0.003116883116883117,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.8372376999220945,43.530075809720344,1.1271617999859154,1,179200,0.94,84.45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.645185385200029,79.60376875500305,2.1041440951824186,1,179200,0.51,119.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,179200,,,0.94,0.94,0,0.42999999999999994,0,0,0,45.0,0.51,0,0.0,0.94,6.0
0.24967463066180548,87.8,204800,1,6,0.909862756729126,54,0,2404,0,2,,,,,,,,,,,1,1,3,7e-05,5,0.0010000000000000009,200,179200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2884567913909753,82.18,209920,2,6,1.4112136363983154,60,6,245,6,41,0.0022200814,0.205908203125,1.8871831526281313,-1.129608168080449,-0.0009326979561592452,320,0.6789137125015259,7e-05,0.08,1.869472622871399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2884567913909753,83.62,215040,3,6,1.2418017387390137,60,0,191,0,80,0.0032956358,0.1835205078125,2.143368670111522,-1.1103370722383261,-0.0011050948378397152,328,0.6786006689071655,7e-05,0.08,0.9852361679077148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2884567913909753,80.89,220160,4,6,1.4157648086547852,60,0,169,0,120,0.0025593997,0.21484375,2.169104967266321,-1.1246334332972765,0.00029012419108767065,336,0.7116802334785461,7e-05,0.08,1.4419196844100952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2884567913909753,76.27,225280,5,6,1.8858047723770142,60,0,152,0,168,0.0020584867,0.1931884765625,2.5165800994611347,-1.1110259089618921,-0.00018555595306679606,344,0.6362608075141907,7e-05,0.08,1.1779406070709229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2884567913909753,,,,6,,60,0,,,,0.0013834154,0.1478515625,2.2806181078311054,-1.0997618895024062,-0.00010316465486539527,352,0.6734810471534729,7e-05,0.08,0.8044594526290894,,,,,,,,,1.002061367034912,127.91666666666667,0.02220179032289306,1925,0.9191623263888888,15,0.00939678948373004,0.007792207792207792,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.02250696934944,39.50898631957038,2.5307738464325666,1,204800,0.95,73.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.006207736014938,81.2729296875657,2.4971913862228394,1,204800,0.54,112.47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,204800,,,0.95,0.95,0,0.4099999999999999,1,0,0,45.0,0.54,0,0.0,0.95,6.0
0.2743480366965135,78.27,230400,1,6,1.5325121879577637,66,6,2094,6,2,,,,,,,,,,,1,1,3,7e-05,5,0.0010000000000000009,200,204800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
