time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/value_loss,train/clip_fraction
30,696320,1012,6,1350,-0.0036112899659201505,0.015335445,0.0001,0.2,-0.2533828437328339,0.5589442253112793,0.15615157783031464,0.27160194255411624,0.08283203125
35,701440,1003,7,1360,-0.005448792933020741,0.008326432,0.0001,0.2,-0.31429662808775904,0.5712039470672607,0.1858501136302948,0.2903084523975849,0.07802734375
41,706560,993,8,1370,-0.006042225388810039,0.0097253155,0.0001,0.2,-0.2929783458262682,0.44706588983535767,0.1557249128818512,0.35073650531470774,0.06890625
46,711680,986,9,1380,-0.0050387106114067135,0.009960424,0.0001,0.2,-0.32834417149424555,0.5953585505485535,0.1267642378807068,0.2800000599771738,0.0822265625
52,716800,982,10,1390,-0.0051768164976965635,0.009773532,0.0001,0.2,-0.36831637859344485,0.6014366149902344,0.19665025174617767,0.3698758454620838,0.07669921875
2,721920,1758,1,1400,-0.005790487264748663,0.011053744,0.0001,0.2,-0.31888841450214384,0.3021230697631836,0.16204389929771423,0.39015917867422106,0.09302734375
8,727040,1195,2,1410,-0.0065413117897696795,0.009419151,0.0001,0.2,-0.3578927786648273,0.3498361110687256,0.11143210530281067,0.3200112295895815,0.08251953125
14,732160,1088,3,1420,-0.006332835271023214,0.012752381,0.0001,0.2,-0.3373363120853901,0.22567814588546753,0.18963521718978882,0.31951877057552336,0.087890625
19,737280,1051,4,1430,-0.00813621697947383,0.009333707,0.0001,0.2,-0.3742365235090256,0.44025862216949463,0.08004488795995712,0.30170056611299517,0.091875
24,742400,1030,5,1440,-0.00598854212090373,0.010335507,0.0001,0.2,-0.34380285292863844,0.43404465913772583,0.15943585336208344,0.3118758756667376,0.08984375
30,747520,1022,6,1450,-0.005808696886524558,0.012239133,0.0001,0.2,-0.2761334476619959,0.3466314673423767,0.12852048873901367,0.36994815357029437,0.08400390625
35,752640,1018,7,1460,-0.006617439230903983,0.014457184,0.0001,0.2,-0.3272617746889591,0.4520229697227478,0.13046421110630035,0.2909764252603054,0.10728515625
40,757760,1015,8,1470,-0.006818458498455584,0.009864996,0.0001,0.2,-0.3457144530117512,0.4261239767074585,0.06527296453714371,0.26854838646948337,0.092578125
45,762880,1015,9,1480,-0.004890784084564075,0.00755414,0.0001,0.2,-0.3104002240300179,0.5114904046058655,0.11998550593852997,0.3502334449440241,0.084453125
48,768000,1049,10,1484,0.0013451747400986573,0.0384923,0.0001,0.2,-0.36707566390114443,0.4804422855377197,0.15921485424041748,0.3967363944938106,0.08782762096774194
3,773120,1522,1,1494,-0.00742816504323855,0.012431889,0.0001,0.2,-0.3004665794968605,0.47346556186676025,0.11178116500377655,0.30441627934575083,0.10126953125
9,778240,1135,2,1504,-0.00574427091749385,0.010716294,0.0001,0.2,-0.29160032838582994,0.4063040614128113,0.18204888701438904,0.3753034771233797,0.0787109375
14,783360,1064,3,1514,-0.003959842309122905,0.015183586,0.0001,0.2,-0.23130721487104894,0.4364727735519409,0.15352708101272583,0.3433581580221653,0.07359375
18,788480,1105,4,1520,-0.004348533420572774,0.028284937,0.0001,0.2,-0.23713110401653326,0.5080890655517578,0.16514235734939575,0.44161247032193035,0.07076322115384616
23,793600,1091,5,1529,-0.005935640038911536,0.016036551,0.0001,0.2,-0.2189906797213861,0.5699533224105835,0.15617309510707855,0.378428933738965,0.07732547514619884
28,798720,1060,6,1539,-0.003970513702370226,0.011692043,0.0001,0.2,-0.2707226874679327,0.3663337230682373,0.18252360820770264,0.38673220872879027,0.08802734375
34,803840,1038,7,1549,-0.006881898194551468,0.012734133,0.0001,0.2,-0.25196864776313305,0.5162357091903687,0.08681140840053558,0.3125861267745495,0.08169921875
39,808960,1025,8,1559,-0.008632431426085531,0.010831738,0.0001,0.2,-0.24090682826936244,0.30765432119369507,0.14142616093158722,0.3173686843365431,0.07767578125
45,814080,1017,9,1569,-0.005304766059853136,0.013783282,0.0001,0.2,-0.24200704358518124,0.30759763717651367,0.15650254487991333,0.33174430951476097,0.0839453125
50,819200,1010,10,1579,-0.006532102662604302,0.008778078,0.0001,0.2,-0.25261144764721394,0.5385726690292358,0.10523805022239685,0.2997279954701662,0.06666015625
3,824320,1484,1,1589,-0.0074211896257475015,0.011383404,0.0001,0.2,-0.25019064523279666,0.3815847635269165,0.16426123678684235,0.35782582700252535,0.083984375
