rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/loss,curriculum/preferred_eval_mode,curriculum/stage_timesteps,curriculum/max_steps,train/ent_coef,curriculum/stage,curriculum/grid_size,curriculum/obs_quantity,train/stage_learning_rate,eval/std_ep_length,eval/std_reward,eval/mean_reward,eval/mean_ep_length,eval/full_coverage_rate,eval/stage_timesteps,eval/deterministic,eval/stage,eval/deterministic_promotion_floor,eval/stochastic_full_coverage_rate,eval/promotion_passed,eval/coverage_promotion_passed,eval/promotion_min_mean_reward,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/promotion_max_mean_length,eval/quality_promotion_passed,eval/deterministic_full_coverage_rate,eval/deterministic_quality_passed,eval/stochastic_quality_passed,eval/promotion_full_coverage_rate
6.4093804359436035,8,92160,284,72,60.47,0.341397762298584,165,0.15,0.008036577,0.31515121132586943,7e-05,-0.9119664809920571,0.13352272727272727,0.002298218000567321,0.31005236506462097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.62468147277832,9,94720,277,82,59.16,0.34877318143844604,169,0.15,0.016135558,0.26325478855716555,7e-05,-0.8998638054257945,0.19695723684210525,0.001783768670927537,0.2154977172613144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.522158145904541,10,97280,296,86,61.24,0.22954481840133667,170,0.15,0.0064614043,0.23735977944574857,7e-05,-0.8890378820268732,0.10649671052631579,0.0031627207308223375,0.0924711525440216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2834649085998535,11,99840,280,100,64.86,0.41022545099258423,175,0.15,0.0126416655,0.2509968640655279,7e-05,-0.9070274662971497,0.175703125,0.00025840910151600835,0.026502028107643127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.129817962646484,12,102400,300,102,65.84,0.38629668951034546,176,0.15,0.013146674,0.5348492950201035,7e-05,-0.9576992630958557,0.2984375,0.015780989080667496,0.5591996908187866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.111772537231445,13,104960,306,108,64.32,0.48002082109451294,179,0.15,0.016718922,0.3656021786290546,7e-05,-0.8806711158087087,0.13662790697674418,0.002063546849544658,0.45098140835762024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.280545711517334,14,107520,288,124,62.2,0.6038739681243896,184,0.15,0.009146701,0.4132938987016678,7e-05,-0.8235115998983383,0.170703125,-0.004629170102998614,0.17509812116622925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.519720554351807,15,110080,285,134,59.55,0.4376952648162842,188,0.15,0.00793039,0.5342311487569438,7e-05,-0.8076447999322569,0.135450487012987,0.0011562548771307066,0.37472909688949585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5636820793151855,16,112640,293,139,59.28,0.32874059677124023,190,0.15,0.010869888,0.3952642048106474,7e-05,-0.8009630967588985,0.15395220588235295,0.005777130013003069,0.16204825043678284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.615567684173584,17,115200,288,150,59.0,0.4318941831588745,194,0.15,0.010150486,0.22188075098234253,7e-05,-0.7974062167309426,0.18644425675675674,-0.0003833124363744581,0.14048804342746735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.729135513305664,18,117760,284,162,55.32,0.4150911569595337,199,0.15,0.010000971,0.25745297728598804,7e-05,-0.7687744970979362,0.14969468390804597,-0.001683414977943075,0.6864973306655884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.633925914764404,19,120320,281,172,57.03,0.5296013355255127,203,0.15,0.010588141,0.19362335349433124,7e-05,-0.7425534203648567,0.165234375,-0.0024462707224301994,0.4346272349357605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.289062023162842,20,122880,273,186,64.23,0.6545326709747314,208,0.15,0.011392577,0.15661029275506735,7e-05,-0.7701901698112488,0.168359375,-0.0016786736343055964,0.020250938832759857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.48830246925354004,211,0.15,0.015830262,0.2579963319734031,7e-05,-0.7617004946166394,0.14767156862745098,0.006762947448912789,0.21247300505638123,,,,,,,,,27.584435828923525,1.3300800863864974,6.890050904750824,52.33,0.99,102400,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,64.64829386766522,7.261495373968822,4.458765658140183,67.59,0.81,102400,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102400,,1,0.0,0.99,1,1,6.75,0.99,0.17999999999999994,32.5,0,0.81,0,0,0.99
,,,,,,,,,,,,,,,,,,,,,,,,30.326958304452493,1.6241144083750085,6.745783883333206,56.34,0.98,102400,0,1,,,,,,,,,,,,,
