time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,curriculum/max_steps,train/loss,curriculum/obs_quantity,train/explained_variance,train/stage_learning_rate,curriculum/stage_timesteps,train/value_loss,train/learning_rate,curriculum/preferred_eval_mode,train/ent_coef,train/policy_gradient_loss,train/n_updates,train/clip_range,curriculum/stage,curriculum/grid_size,train/clip_fraction,train/entropy_loss,eval/mean_reward,eval/mean_ep_length,eval/std_ep_length,eval/deterministic,eval/stage,eval/stage_timesteps,eval/full_coverage_rate,eval/std_reward,eval/promotion_min_mean_reward,eval/deterministic_quality_passed,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/mode_gap,eval/coverage_promotion_passed,eval/promotion_passed,eval/deterministic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/stochastic_quality_passed
7,6.290135383605957,38,161.65,923,199680,0.008029561,,0.28147223591804504,,0.3542288541793823,,,0.6586110055446625,0.00016586666666666667,,,-0.00360720903147012,190,0.2,,,0.1130078125,-0.5848263710737228,,,,,,,,,,,,,,,,,,,,,
8,6.555060863494873,45,153.69,909,204800,0.009400932,,0.2662787139415741,,0.19004100561141968,,,0.5559811195731164,0.00016586666666666667,,,-0.0035068210354074836,195,0.2,,,0.1060546875,-0.5414380180835724,,,,,,,,,,,,,,,,,,,,,
9,6.380050182342529,51,158.36,900,209920,0.008816943,,0.22565394639968872,,0.33755964040756226,,,0.5433968716859817,0.00016586666666666667,,,-0.004615169973112643,200,0.2,,,0.0944140625,-0.5362172505259514,,,,,,,,,,,,,,,,,,,,,
10,6.762386322021484,57,150.69,894,215040,0.010106641,,0.2555704712867737,,0.24091917276382446,,,0.5359488347172737,0.00016586666666666667,,,-0.002783366059884429,205,0.2,,,0.1005859375,-0.5177627366781234,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.007669291,,0.2829153537750244,,0.19004279375076294,,,0.5009219926595688,0.00016586666666666667,,,-0.003997310330159962,210,0.2,,,0.0825390625,-0.5002652135491371,6.808081711735577,140.08,67.2845717828389,0,2,102400,0.92,2.311096464835718,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.8213552470505238,261.53,101.49556197194043,1,2,102400,0.25,4.129589635588022,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,102400,,,6.75,0,0,83.2,0.67,0,0,0.25,0.48,0.92,0.92,0.92,0
1,7.279384136199951,3,130.59,1682,220160,,320,,8,,0.00015673333333333337,102400,,,1,0.006610666666666667,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,
2,7.2139997482299805,9,130.35,1137,225280,0.007894808,,0.16711069643497467,,0.3037525415420532,,,0.3749726839363575,0.00015673333333333337,,,-0.0012053644470870495,215,0.2,,,0.079765625,-0.44365231692790985,,,,,,,,,,,,,,,,,,,,,
3,7.12165641784668,14,131.27,1025,230400,0.009734068,,0.1420263946056366,,0.3395705223083496,,,0.3416434261202812,0.00015673333333333337,,,-0.0021645441884174943,220,0.2,,,0.08875,-0.44976901054382323,,,,,,,,,,,,,,,,,,,,,
4,7.027787685394287,20,137.28,980,235520,0.0071761487,,0.15551568567752838,,0.34673112630844116,,,0.35145419657230376,0.00015673333333333337,,,-0.00335238219704479,225,0.2,,,0.077890625,-0.4428887313604355,,,,,,,,,,,,,,,,,,,,,
5,7.143674850463867,26,133.83,954,240640,0.0061829435,,0.15993747115135193,,0.2549644112586975,,,0.34750235855579376,0.00015673333333333337,,,-0.0030852705193683506,230,0.2,,,0.0764453125,-0.4241032376885414,,,,,,,,,,,,,,,,,,,,,
6,7.309463024139404,32,128.46,934,245760,0.008658467,,0.11304210126399994,,0.24833768606185913,,,0.29376882180571556,0.00015673333333333337,,,-0.004307270981371403,235,0.2,,,0.087734375,-0.4148449790477753,,,,,,,,,,,,,,,,,,,,,
7,7.239142417907715,38,123.39,921,250880,0.008892287,,0.10938090085983276,,0.26615750789642334,,,0.2986254522204399,0.00015673333333333337,,,-0.0036443033814430236,240,0.2,,,0.0928125,-0.4014714598655701,,,,,,,,,,,,,,,,,,,,,
8,7.233499050140381,44,123.18,910,256000,0.0073999316,,0.1523543745279312,,0.3188173174858093,,,0.31648168206214905,0.00015673333333333337,,,-0.002423070101067424,245,0.2,,,0.076328125,-0.3805201786756516,,,,,,,,,,,,,,,,,,,,,
9,7.232631206512451,51,121.53,900,261120,0.0074968236,,0.12063653022050858,,0.2783910632133484,,,0.3092804205417633,0.00015673333333333337,,,-0.001621559513732791,250,0.2,,,0.0792578125,-0.3669870501756668,,,,,,,,,,,,,,,,,,,,,
10,7.285455226898193,57,122.43,893,266240,0.008740224,,0.12528221309185028,,0.24752014875411987,,,0.2904632265865803,0.00015673333333333337,,,-0.0042686775559559464,255,0.2,,,0.076484375,-0.3499934059381485,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.0073579326,,0.12298299372196198,,0.3507094979286194,,,0.28189351558685305,0.00015673333333333337,,,-0.0026560232834890486,260,0.2,,,0.0730078125,-0.33114248752593994,7.08068520963192,124.49,65.78457189949631,0,2,153600,0.94,2.0043094498998033,,,,,,,,,,,,,
