time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/n_updates,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss
6,10833920,28,1080,21150,0.08570729,0.311640625,0.2,0.0003,-0.020095039159059525,0.6578343510627747,-0.5416747486591339,-0.032316035800613464,0.1504176022671163
7,10839040,33,1070,21160,0.08122567,0.31541015625,0.2,0.0003,-0.027925990521907806,0.6461895704269409,-0.5404125601053238,-0.0301287982147187,0.1409049652516842
8,10844160,38,1060,21170,0.08742309,0.30251953125,0.2,0.0003,-0.035755835473537445,0.59488445520401,-0.48996742531657217,-0.03527829921338707,0.12288969615474343
9,10849280,43,1055,21180,0.087411575,0.34703125,0.2,0.0003,-0.04998299852013588,0.5178847312927246,-0.6006237828731537,-0.037587340220343324,0.13804519226774573
10,10854400,48,1051,21190,0.10387292,0.3081640625,0.2,0.0003,-0.046354956924915314,0.6094980239868164,-0.5150398716330529,-0.03448526266729459,0.13666680514812468
1,10859520,2,2116,21200,0.09244717,0.33548828125,0.2,0.0003,-0.03884407877922058,0.45780515670776367,-0.5679859709739685,-0.03375194911146537,0.12036078847944737
2,10864640,7,1300,21210,0.08689432,0.3415234375,0.2,0.0003,-0.02502249926328659,0.45494574308395386,-0.5850015011429787,-0.035004406385123726,0.11388082390651107
3,10869760,12,1184,21220,0.089232154,0.353125,0.2,0.0003,-0.05240626633167267,0.4497758150100708,-0.6044723522663117,-0.03993248844286427,0.1188461098819971
4,10874880,18,1135,21230,0.09857012,0.34513671875,0.2,0.0003,-0.021090341731905937,0.4066395163536072,-0.5558062480390071,-0.03494930969318375,0.15220244284719228
5,10880000,23,1107,21240,0.105018035,0.36009765625,0.2,0.0003,-0.015931446105241776,0.5255638360977173,-0.596938074529171,-0.03538947581546381,0.13036714676767588
6,10885120,28,1084,21250,0.085442506,0.34689453125,0.2,0.0003,-0.017551101744174957,0.45426589250564575,-0.5940866509079933,-0.03674850237788632,0.14615467336028815
7,10890240,33,1066,21260,0.090860724,0.3491015625,0.2,0.0003,-0.039470527321100235,0.6150858402252197,-0.5741376096010208,-0.038633749934379014,0.1297745630517602
8,10895360,38,1052,21270,0.07731924,0.344609375,0.2,0.0003,-0.03286920487880707,0.5228360891342163,-0.5968790131807328,-0.03880385862197727,0.11785325013101101
9,10900480,44,1039,21280,0.077427946,0.34146484375,0.2,0.0003,-0.04442184418439865,0.6260270476341248,-0.6275102207064629,-0.03504568343283609,0.10293910859152675
10,10905600,49,1027,21290,0.08928708,0.34103515625,0.2,0.0003,-0.03820447251200676,0.6689597368240356,-0.5864251956343651,-0.03780140348011628,0.13218794967979192
1,10910720,2,2099,21300,0.080179796,0.32189453125,0.2,0.0003,-0.042853012681007385,0.560073733329773,-0.5495956675708293,-0.033746111132204534,0.13478346358984708
2,10915840,7,1310,21310,0.08725822,0.32041015625,0.2,0.0003,-0.04159598425030708,0.7443766593933105,-0.5445595417916774,-0.03544180245604366,0.10679437832906842
3,10920960,12,1193,21320,0.07308323,0.3217578125,0.2,0.0003,-0.030800271779298782,0.6739412546157837,-0.5593659377098084,-0.03317720070946962,0.14470906181260942
4,10926080,17,1142,21330,0.08050684,0.30888671875,0.2,0.0003,-0.023971935734152794,0.5931556820869446,-0.5449243421852589,-0.033145492565818134,0.15861785188317298
5,10931200,23,1112,21340,0.08545031,0.3185546875,0.2,0.0003,-0.039347466081380844,0.5199524164199829,-0.5512576071918011,-0.034935686592943965,0.13936213597655298
6,10936320,27,1099,21350,0.09271707,0.31357421875,0.2,0.0003,-0.0570216104388237,0.5366612076759338,-0.5049528776109219,-0.03242608174216002,0.12270523084327578
7,10941440,32,1086,21360,0.08594284,0.32181640625,0.2,0.0003,-0.046629488468170166,0.5693800449371338,-0.5630656495690346,-0.03392808818258345,0.13049628745764494
8,10946560,37,1079,21370,0.09483286,0.34009765625,0.2,0.0003,-0.041012659668922424,0.5295677185058594,-0.5774034240841865,-0.03785276754293591,0.11551579352468253
9,10951680,42,1075,21380,0.085250124,0.3130078125,0.2,0.0003,-0.05205406993627548,0.5238389372825623,-0.5599664975702763,-0.03913933721370995,0.11098077131435274
10,10956800,47,1069,21390,0.08990043,0.32767578125,0.2,0.0003,-0.041091833263635635,0.37287086248397827,-0.5448437370359898,-0.03295103771029972,0.11314947352744639
1,10961920,2,2072,21400,0.08323632,0.33302734375,0.2,0.0003,-0.03859545290470123,0.49959713220596313,-0.5715702310204506,-0.036238725665025416,0.09628806628286839
2,10967040,7,1309,21410,0.08911246,0.32142578125,0.2,0.0003,-0.024206478148698807,0.5216642618179321,-0.5389178466796875,-0.034392254296690225,0.10926166441291571
3,10972160,12,1190,21420,0.09165911,0.33044921875,0.2,0.0003,-0.03742464631795883,0.4207381010055542,-0.5602241809666156,-0.03521490155835636,0.13695351637899875
4,10977280,17,1142,21430,0.09516571,0.33947265625,0.2,0.0003,-0.04222814738750458,0.41355693340301514,-0.5824044290184974,-0.0400432997290045,0.11122008353471756
5,10982400,22,1114,21440,0.083033755,0.327890625,0.2,0.0003,-0.041866183280944824,0.43464988470077515,-0.5673754125833511,-0.03805058682337403,0.10624690214172006
6,10987520,28,1095,21450,0.09650765,0.33703125,0.2,0.0003,-0.04406052082777023,0.5000016689300537,-0.5546857461333274,-0.0367787139932625,0.1095833713747561
7,10992640,33,1083,21460,0.07619269,0.307578125,0.2,0.0003,-0.0498359352350235,0.4377392530441284,-0.5431473767757415,-0.03628617642214522,0.12086567379534245
8,10997760,38,1076,21470,0.07704252,0.31412109375,0.2,0.0003,-0.040506087243556976,0.5111076831817627,-0.5897999566793442,-0.03690809870138764,0.12113457057625056
9,11002880,43,1069,21480,0.09462039,0.31404296875,0.2,0.0003,-0.0387403704226017,0.33890479803085327,-0.5483714035153389,-0.033848047284409405,0.11887547731399536
10,11008000,48,1063,21490,0.08738004,0.33623046875,0.2,0.0003,-0.04821484908461571,0.3773680329322815,-0.5777308869361878,-0.03633165961364284,0.12686252787709237
