time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/ent_coef,train/clip_fraction,train/explained_variance,curriculum/preferred_eval_mode,train/stage_learning_rate,train/loss,train/entropy_loss,curriculum/max_steps,curriculum/obs_quantity,train/learning_rate,curriculum/stage_timesteps,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,curriculum/grid_size,curriculum/stage,eval/full_coverage_rate,eval/mean_ep_length,eval/stage,eval/std_reward,eval/deterministic,eval/std_ep_length,eval/mean_reward,eval/stage_timesteps,eval/mode_gap,eval/deterministic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/promotion_passed,eval/diagnostic_full_coverage_rate
4,843,7.224005699157715,179200,41.45,24,0.2,,0.067890625,0.6697086691856384,,,0.05638697370886803,-0.360620519220829,,,0.0001,,169,-0.005132934208959341,0.006825298,0.10813459396362304,,,,,,,,,,,,,,,,,
5,831,7.323801040649414,184320,38.61,30,0.2,,0.0625390625,0.7196897268295288,,,0.074057936668396,-0.4327670124173164,,,0.0001,,174,-0.0007144221826456488,0.0068267686,0.13803107403218745,,,,,,,,,,,,,,,,,
6,828,7.594760894775391,189440,34.42,37,0.2,,0.0667578125,0.7398160696029663,,,0.06661799550056458,-0.40568060517311094,,,0.0001,,179,-0.0032722747791558504,0.0061342595,0.16980266243219375,,,,,,,,,,,,,,,,,
7,824,7.226909160614014,194560,40.28,43,0.2,,0.0601171875,0.6157811880111694,,,0.05206554755568504,-0.36362952828407286,,,0.0001,,184,-0.003914872771129012,0.004660462,0.11406900517642499,,,,,,,,,,,,,,,,,
8,821,7.4839935302734375,199680,37.51,49,0.2,,0.0658984375,0.7563852667808533,,,0.0658610537648201,-0.38375036597251894,,,0.0001,,189,-0.0013044775743037461,0.008110152,0.12400513522326946,,,,,,,,,,,,,,,,,
9,817,7.433772563934326,204800,37.92,56,0.2,,0.071015625,0.6884447336196899,,,0.04589138925075531,-0.36722664028406143,,,0.0001,,194,-0.0031156046269461514,0.007848801,0.11525504596531391,,,,,,,,,,,,,,,,,
10,814,7.493943691253662,209920,34.54,62,0.2,,0.0628125,0.7336382269859314,,,0.05654606223106384,-0.3803509250283241,,,0.0001,,199,-0.0030247184820473196,0.005280637,0.13872780062258244,,,,,,,,,,,,,,,,,
,,,,,,0.2,,0.0675,0.6599628925323486,,,0.04152403026819229,-0.349391368329525,,,0.0001,,204,-0.0043009580578655,0.007664592,0.137968937382102,,,1.0,34.07,1,0.6135700511254082,0,22.781244478737328,7.574471378326416,204800,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.82,56.81,1,4.221302066468577,1,67.14368101318246,5.745414834022522,204800,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,204800,0.18000000000000005,0.82,0.792,1.0,1.0,1,1.0
