time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/n_updates,train/value_loss,train/loss
2171,414720,2,1,-0.01273971812101081,0.1592578125,-0.42199386060237887,0.02773414,0.0003,-0.0024186372756958008,0.2,800,0.0312483826931566,-0.018019428476691246
1479,419840,6,2,-0.019977790694683792,0.1734765625,-0.4548839919269085,0.026038367,0.0003,0.34139829874038696,0.2,810,0.05698253971524537,-0.023920491337776184
1388,424960,11,3,-0.015418405695818364,0.1419921875,-0.3906694482266903,0.023961272,0.0003,0.45454734563827515,0.2,820,0.04009434425737709,-0.01907079666852951
1334,430080,15,4,-0.01771546196890995,0.1397265625,-0.419118412733078,0.020501185,0.0003,0.7316808700561523,0.2,830,0.06131903710775077,-0.0038248561322689056
1299,435200,19,5,-0.015616624599788338,0.15001953125,-0.40032668292522433,0.021869468,0.0003,0.5066278576850891,0.2,840,0.06179254307411611,-0.0021622590720653534
1263,440320,24,6,-0.013653122971300035,0.1302734375,-0.39402691408991813,0.019518841,0.0003,0.5406985282897949,0.2,850,0.07869084051810205,-0.017003990709781647
1249,445440,28,7,-0.01985444979975,0.13517578125,-0.4241585253179073,0.02086391,0.0003,0.5773701667785645,0.2,860,0.10375680651515723,-0.005984853953123093
1206,450560,33,8,-0.016490864265942946,0.14826171875,-0.42731705725193025,0.024977192,0.0003,0.6263887882232666,0.2,870,0.11629324577748776,0.00818311795592308
1171,455680,39,9,-0.018066575480625034,0.14455078125,-0.4302838358283043,0.022653062,0.0003,0.6419202089309692,0.2,880,0.08483460363000632,-0.015834644436836243
1159,460800,44,10,-0.02000512646511197,0.1601953125,-0.45029946461319925,0.022692844,0.0003,0.4696580767631531,0.2,890,0.10837505955249072,0.012018755078315735
1716,465920,2,1,-0.020413050539791585,0.16904296875,-0.465861496925354,0.027665967,0.0003,0.19197165966033936,0.2,900,0.05650090225972235,-0.026273658499121666
1355,471040,7,2,-0.01939512262120843,0.16318359375,-0.47388473093509675,0.025766265,0.0003,0.3280559182167053,0.2,910,0.08212180932983756,-0.015083201229572296
1277,476160,12,3,-0.017094996739178896,0.1637109375,-0.447337097376585,0.025409564,0.0003,0.08004194498062134,0.2,920,0.04802981838583946,-0.0169224850833416
1226,481280,16,4,-0.017939678349066526,0.172578125,-0.497139026671648,0.02267396,0.0003,0.29753559827804565,0.2,930,0.07505717473104596,-0.007286630570888519
1211,486400,21,5,-0.022270206117536873,0.17232421875,-0.45439119532704353,0.021396283,0.0003,0.3094857931137085,0.2,940,0.0439258354716003,-0.03403369337320328
1196,491520,25,6,-0.0191117797116749,0.15640625,-0.4375250582396984,0.0249761,0.0003,0.2638583183288574,0.2,950,0.07178268348798156,-0.03283905237913132
1189,496640,30,7,-0.020976338940672575,0.14892578125,-0.4352441240847111,0.019833978,0.0003,0.6479220986366272,0.2,960,0.060770535934716464,-0.005697302520275116
1181,501760,34,8,-0.017231248340103776,0.12830078125,-0.4424428127706051,0.01637935,0.0003,0.6922703981399536,0.2,970,0.12112261816859245,0.0018810853362083435
1169,506880,39,9,-0.01572835758794099,0.12845703125,-0.40449398785829543,0.019744528,0.0003,0.37275588512420654,0.2,980,0.11502350883558393,0.022058920934796333
1146,512000,44,10,-0.0174488395312801,0.14046875,-0.4157724414765835,0.02548539,0.0003,0.6159341931343079,0.2,990,0.0544374973513186,-0.017414554953575134
2269,517120,2,1,-0.01830668846145272,0.15126953125,-0.4571339772641659,0.018004028,0.0003,0.5871361494064331,0.2,1000,0.09229128817096352,-0.006082344800233841
1544,522240,6,2,-0.01967916702385992,0.14869140625,-0.45193826511502266,0.018604789,0.0003,0.5619986057281494,0.2,1010,0.12909705692902207,0.0016029812395572662
1423,527360,10,3,-0.020684080419596285,0.14271484375,-0.4600943201780319,0.018726112,0.0003,0.6750795841217041,0.2,1020,0.15809453655034303,0.014512646943330765
1352,532480,15,4,-0.018089894205331802,0.1526953125,-0.4232608415186405,0.027303707,0.0003,0.35292816162109375,0.2,1030,0.08832151480019093,0.01078084483742714
1315,537600,19,5,-0.0220015471521765,0.1516015625,-0.4687697447836399,0.021565026,0.0003,0.6010112762451172,0.2,1040,0.12268343396484852,0.03136541694402695
1301,542720,23,6,-0.020681485165841878,0.13890625,-0.4828191864490509,0.016053496,0.0003,0.5959722399711609,0.2,1050,0.15841440867632628,0.00832025334239006
1280,547840,27,7,-0.021918678390793502,0.14974609375,-0.4355429661273956,0.024085626,0.0003,0.7016509175300598,0.2,1060,0.159359386023134,-0.011142801493406296
1283,552960,31,8,-0.014486227361485362,0.14412109375,-0.41095765128731726,0.02422248,0.0003,0.43920809030532837,0.2,1070,0.08851712485775351,-0.01217057928442955
1270,558080,36,9,-0.018022486194968223,0.140703125,-0.4313940492272377,0.021677831,0.0003,0.5379726886749268,0.2,1080,0.0760821135994047,-0.002041291445493698
1269,563200,40,10,-0.01659620150225237,0.1444921875,-0.43590314194560054,0.021203727,0.0003,0.49906033277511597,0.2,1090,0.09843855643644929,-0.012047827243804932
2487,568320,2,1,-0.019900800585746767,0.1605078125,-0.4125562986731529,0.023250328,0.0003,0.581756591796875,0.2,1100,0.06941185610368848,-0.010719474405050278
1613,573440,6,2,-0.01597755748894997,0.1449609375,-0.40760024428367614,0.021768471,0.0003,0.655975341796875,0.2,1110,0.09140628853812814,0.0005960799753665924
