time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss
1310,2,112640,7,0.2,0.0001,-0.005119235889287666,0.31581103801727295,0.6368197202682495,210,0.006092921,0.5913210704922676,0.0885546875,-0.6558185267448425
1185,3,117760,12,0.2,0.0001,-0.006922603975981474,0.2384781837463379,0.6205330491065979,220,0.007463161,0.5698988547921181,0.09185546875,-0.6003509154915809
1124,4,122880,18,0.2,0.0001,-0.006268850460182876,0.2180354744195938,0.6679375767707825,230,0.009911483,0.399026452600956,0.11931640625,-0.5481415218114853
1100,5,128000,23,0.2,0.0001,-0.005182169429026544,0.13624045252799988,0.6939477920532227,240,0.006245249,0.3250846690684557,0.0960546875,-0.5269343596696854
1082,6,133120,28,0.2,0.0001,-0.0034686866030097007,0.12219281494617462,0.7176473736763,250,0.0065080756,0.26509382016956806,0.10068359375,-0.5219637210667133
1066,7,138240,33,0.2,0.0001,-0.005679139606654644,0.0834808200597763,0.7294378280639648,260,0.007396257,0.2263456269353628,0.09533203125,-0.5164468982815742
1043,8,143360,39,0.2,0.0001,-0.004746224314440042,0.09095019102096558,0.6776551008224487,270,0.010632013,0.21265954956412314,0.0939453125,-0.43674375891685485
1038,9,148480,44,0.2,0.0001,-0.0007844125363044441,0.11209682375192642,0.7784008979797363,280,0.010030731,0.23078466162085534,0.07953125,-0.45445832163095473
1026,10,153600,49,0.2,0.0001,-0.007982301071751862,0.11510264873504639,0.7009331583976746,290,0.006084296,0.24900586098432542,0.0882421875,-0.41276441276073456
1536,1,158720,3,0.2,0.0001,-0.009089050579350442,0.1036180704832077,0.7058488130569458,300,0.008568982,0.19154427960515022,0.0945703125,-0.3891986235976219
1203,2,163840,8,0.2,0.0001,-0.005489627073984593,0.07191497087478638,0.5124403238296509,310,0.005983004,0.20892721734941005,0.08716796875,-0.43501295045018196
1123,3,168960,13,0.2,0.0001,-0.005212730907369405,0.08049502223730087,0.6507648825645447,320,0.007249939,0.16425598960369825,0.098046875,-0.43750688165426255
1092,4,174080,18,0.2,0.0001,-0.006168964563403279,0.09369984269142151,0.7039296627044678,330,0.009184847,0.21672184340655803,0.093828125,-0.49425823509693145
1073,5,179200,23,0.2,0.0001,-0.006236719114240259,0.11198833584785461,0.6720761060714722,340,0.005867119,0.22754725344479085,0.08046875,-0.4721851746737957
1031,6,184320,29,0.2,0.0001,-0.004943591873161495,0.072191022336483,0.6485949754714966,350,0.007116125,0.2094427589327097,0.0842578125,-0.386767862290144
993,7,189440,36,0.2,0.0001,-0.003948406539857388,0.06917428225278854,0.6721007823944092,360,0.0056742453,0.1789841927587986,0.07447265625,-0.37698974147439
