cbp/utility_mean,time/time_elapsed,time/total_timesteps,cbp/target_count,cbp/rollout_replacements,time/iterations,cbp/total_replacements,rollout/ep_rew_mean,rollout/ep_len_mean,cbp/last_replacements,time/fps,train/n_updates,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction,curriculum/grid_size,curriculum/stage,curriculum/preferred_eval_mode,curriculum/max_steps,curriculum/obs_quantity,train/ent_coef,curriculum/stage_timesteps,train/stage_learning_rate,plasticity/weight_max_abs,plasticity/weight_rms,plasticity/effective_rank_99_mean,plasticity/low_weight_units,plasticity/low_weight_unit_ratio,plasticity/effective_rank_99_normalized_mean,plasticity/total_weight_units,plasticity/weight_abs_mean,eval/mean_ep_length,eval/stage_timesteps,eval/deterministic,eval/std_reward,eval/mean_reward,eval/std_ep_length,eval/stage,eval/full_coverage_rate,eval/promotion_full_coverage_rate,eval/promotion_max_mean_length,eval/quality_promotion_passed,eval/deterministic_quality_passed,eval/mode_gap,eval/stochastic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_min_mean_reward,eval/coverage_promotion_passed,eval/diagnostic_full_coverage_rate,eval/stochastic_quality_passed,eval/deterministic_full_coverage_rate,eval/promotion_passed
0.26494142164786655,121,194560,6,0,4,54,-2.726961135864258,149.3,0,169,296,7e-05,0.273094117641449,0.08,2.412651300430298,0.0037008666,-1.1204324714839458,1.8189684228069383,0.00019460238981992007,0.211767578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26494142164786655,166,199680,6,0,5,54,-1.9104270935058594,139.23,0,154,304,7e-05,0.3605698347091675,0.08,2.566718101501465,0.0021546136,-1.108618401363492,1.3473604856000747,-0.0007142326023313217,0.18662109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26494142164786655,,,6,,,54,,,0,,312,7e-05,0.28276318311691284,0.08,3.0800092220306396,0.0022357225,-1.1158174987882377,2.0991056015191134,-0.0002991973655298352,0.1811767578125,,,,,,,,,1.0691980123519897,0.023625361189690806,130.75,6,0.003116883116883117,0.9313151041666666,1925,0.010602024408063735,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.45,179200,0,5.407116777956978,-1.7896192951127887,61.14807846531239,1,0.63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.46,179200,1,3.506657556044948,0.028408974409103394,55.803838577646246,1,0.13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179200,,,,,1,,0.63,45.0,0,0,0.5,0.63,0.0,6.0,0,0.63,0,0.13,0
0.26494142164786655,2,204800,6,0,1,54,-0.5382360219955444,114.55,0,1802,,,,,,,,,,,5,1,1,200,3,0.0010000000000000009,179200,7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23423969000577927,48,209920,6,6,2,60,-0.38342994451522827,113.2,6,211,320,7e-05,0.3138743042945862,0.08,0.15675589442253113,0.0027380309,-1.0999261949211359,2.3407328115194104,-0.00027493217785377053,0.1763427734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23423969000577927,98,215040,6,0,3,60,-0.6202397346496582,123.22,0,155,328,7e-05,0.4587964415550232,0.08,0.5228747725486755,0.003030837,-1.087281174585223,2.7813919180131053,-0.00041280434234067795,0.205029296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23423969000577927,145,220160,6,0,4,60,-0.7181317806243896,118.49,0,140,336,7e-05,0.4755364656448364,0.08,0.9167091846466064,0.0026284503,-1.0795455653220416,2.039880672696745,0.0006076735618989915,0.196728515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23423969000577927,192,225280,6,0,5,60,-0.14056478440761566,116.22,0,133,344,7e-05,0.3963332772254944,0.08,5.970020294189453,0.0025363057,-1.0705471780151128,2.5955200743017484,-0.0016111226344946773,0.1582763671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23423969000577927,,,6,,,60,,,0,,352,7e-05,0.40456265211105347,0.08,0.7025664448738098,0.004560491,-1.0543078949674964,3.135529332398437,0.0006751632652594707,0.2459228515625,,,,,,,,,1.0645440816879272,0.022308527389556052,128.16666666666666,13,0.006753246753246753,0.9202473958333334,1925,0.009664743318552998,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.51,204800,0,5.471972795712408,-0.0509318333864212,61.19681282550587,1,0.79,,,,,,,,,,,,,
