time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,curriculum/stage_timesteps,train/approx_kl,curriculum/obs_quantity,curriculum/grid_size,train/entropy_loss,train/value_loss,curriculum/stage,curriculum/max_steps,train/policy_gradient_loss,train/ent_coef,train/loss,train/learning_rate,eval/mean_ep_length,eval/std_reward,eval/full_coverage_rate,eval/mean_reward,eval/deterministic,eval/stage,eval/stage_timesteps,eval/std_ep_length
1460,21,108.42,501760,7.259197235107422,6,0.7973106503486633,485,0.2,0.0624609375,,0.008025361,,,-0.2740212844312191,0.5351489192247391,,,-0.0016417405614629387,,0.20125970244407654,0.0001,,,,,,,,
1449,24,112.85,506880,7.022982120513916,7,0.8202142715454102,490,0.2,0.0576171875,,0.0060612746,,,-0.28580387234687804,0.5703605690598488,,,-0.0011961758555844425,,0.28503555059432983,0.0001,,,,,,,,
1443,28,109.97,512000,7.124713897705078,8,0.8486346006393433,495,0.2,0.0712890625,,0.007382965,,,-0.2786257714033127,0.601180385351181,,,-0.002833456890657544,,0.3093539774417877,0.0001,,,,,,,,
1441,31,102.88,517120,7.314106464385986,9,0.7384721636772156,500,0.2,0.049140625,,0.006278903,,,-0.2373494178056717,0.6690727162361145,,,-0.002276843772269785,,0.2843436598777771,0.0001,,,,,,,,
1436,35,102.02,522240,7.275233268737793,10,0.7746155858039856,505,0.2,0.0519921875,,0.006576897,,,-0.2410233250260353,0.5531853589415551,,,-0.0012902545742690564,,0.30290687084198,0.0001,,,,,,,,
,,,,,,0.8025920391082764,510,0.2,0.0606640625,,0.007821976,,,-0.2325592330098152,0.3518744195997715,,,-0.0012362204492092133,,0.15351364016532898,0.0001,105.85,1.6171274112475071,0.97,7.2794691151380535,0,2,358400,58.601258518908956
,,,,,,,,,,,,,,,,,,,,,,100.89,0.545620444809923,1.0,7.527969074249268,0,2,358400,40.15641791793686
,,,,,,,,,,,,,,,,,,,,,,104.19,1.5018962772222464,0.97,7.323435784578323,0,2,358400,53.11547702882842
1819,2,121.38,527360,7.240055084228516,1,,,,,,,,,,,,,,,,,,,,,,,,
2240,2,151.68,532480,7.09628438949585,1,0.441394567489624,515,0.2,0.0636328125,0,0.005300946,15,11,-0.26660810604691504,2.2203266656398775,3,440,-0.0008529075793921948,0.015,1.0622755289077759,0.0001,,,,,,,,
1697,6,178.11,537600,6.894286632537842,2,0.5163774490356445,520,0.2,0.068828125,,0.010251408,,,-0.2809684656560421,1.2427348464727401,,,-0.0022799478145316245,,0.5175023078918457,0.0001,,,,,,,,
1537,9,209.4,542720,6.613214015960693,3,0.3031121492385864,525,0.2,0.0641015625,,0.007851143,,,-0.3021504312753677,0.8065721991658211,,,-0.00225070268381387,,0.4131462872028351,0.0001,,,,,,,,
1481,13,229.85,547840,6.517669200897217,4,0.32824498414993286,530,0.2,0.0810546875,,0.010034517,,,-0.29372481048107146,0.5939548996090889,,,-0.002793868281878531,,0.23444698750972748,0.0001,,,,,,,,
1430,17,240.75,552960,6.2893242835998535,5,0.23823028802871704,535,0.2,0.0846484375,,0.013301985,,,-0.27883040726184843,0.7151308676600456,,,-0.0018846198497340083,,0.3863341510295868,0.0001,,,,,,,,
1424,21,240.4,558080,6.31461238861084,6,0.3959863781929016,540,0.2,0.0909375,,0.009513352,,,-0.29126289814710615,0.6031880256533623,,,-0.0006259887851774692,,0.17377114295959473,0.0001,,,,,,,,
1425,25,252.68,563200,6.0493292808532715,7,0.3809211254119873,545,0.2,0.0769140625,,0.010146824,,,-0.28253853440284726,0.6479760691523552,,,-0.0030478359619155525,,0.3548966646194458,0.0001,,,,,,,,
1428,28,258.05,568320,5.966705799102783,8,0.3709428310394287,550,0.2,0.0696875,,0.0079059675,,,-0.2959586364030838,0.4474915513396263,,,-0.002139431671239436,,0.1791757494211197,0.0001,,,,,,,,
1430,32,258.8,573440,6.026943206787109,9,0.28179991245269775,555,0.2,0.0587890625,,0.004828333,,,-0.3049587878584862,0.5468625262379646,,,-0.001588138435035944,,0.3073052763938904,0.0001,,,,,,,,
1432,35,249.33,578560,6.112515926361084,10,0.30019110441207886,560,0.2,0.0722265625,,0.007021066,,,-0.3223522624373436,0.6518587440252304,,,-0.0002035250049084425,,0.42168745398521423,0.0001,,,,,,,,
2277,2,261.36,583680,5.8550286293029785,1,0.45942676067352295,565,0.2,0.08578125,51200,0.010341084,15,11,-0.3320438912510872,0.5325836029648781,3,440,-0.004626107886433601,0.011672,0.24281318485736847,0.0001,,,,,,,,
1759,5,255.65,588800,6.132797718048096,2,0.4304860830307007,570,0.2,0.070703125,,0.009335222,,,-0.33512447983026505,0.565088030397892,,,-0.002671742271631956,,0.2234652042388916,0.0001,,,,,,,,
1633,9,249.06,593920,6.4061598777771,3,0.5536326766014099,575,0.2,0.0670703125,,0.0072630183,,,-0.31247916370630263,0.5615325301885605,,,-0.0024164510052651165,,0.18066845834255219,0.0001,,,,,,,,
1574,13,261.58,599040,6.039790153503418,4,0.39607101678848267,580,0.2,0.0680078125,,0.006673294,,,-0.33278789937496184,0.5725542205572128,,,-0.0003475995594635606,,0.24759052693843842,0.0001,,,,,,,,
1543,16,269.09,604160,5.984210014343262,5,0.402646005153656,585,0.2,0.085859375,,0.014726462,,,-0.33645029097795487,0.4203965090215206,,,0.0006828317837789655,,0.17219778895378113,0.0001,,,,,,,,
