time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate
245760,38,1059,8,0.8077230453491211,0.0756640625,-0.4477668921649456,0.2,0.0055757314,470,0.31700618013739584,-0.005469537292374298,0.14621609449386597,0.0001
250880,43,1053,9,0.7280044555664062,0.0818359375,-0.4100956529378891,0.2,0.006349406,480,0.3695272020995617,-0.0031567247724160552,0.15217740833759308,0.0001
256000,48,1047,10,0.6572365760803223,0.06869140625,-0.3833507116138935,0.2,0.0068776435,490,0.35331781275570395,-0.005366925137350336,0.14932091534137726,0.0001
261120,2,2162,1,0.8084394335746765,0.073984375,-0.42888479366898535,0.2,0.008421393,500,0.250105314925313,-0.005588500679004937,0.13281771540641785,0.0001
266240,7,1327,2,0.678451418876648,0.07134765625,-0.3875721211731434,0.2,0.004899524,510,0.332538750320673,-0.00574589490192011,0.13179075717926025,0.0001
271360,12,1214,3,0.6932703852653503,0.06833984375,-0.34468681961297987,0.2,0.005867365,520,0.20178837023675442,-0.004147060938412324,0.07247546315193176,0.0001
276480,17,1157,4,0.6733906269073486,0.074296875,-0.44618434593081474,0.2,0.006740322,530,0.27022946819663046,-0.004985660489182919,0.10678111016750336,0.0001
281600,23,1101,5,0.6967740058898926,0.0669921875,-0.3433050283789635,0.2,0.005978831,540,0.17454968616366387,-0.004443370189983397,0.06537418067455292,0.0001
286720,28,1071,6,0.7665277719497681,0.07150390625,-0.34671675786376,0.2,0.006003785,550,0.1837977357953787,-0.0047115885966923085,0.07541809976100922,0.0001
291840,34,1047,7,0.7879688143730164,0.07962890625,-0.37922968208789826,0.2,0.008228047,560,0.20906169526278973,-0.005667708506807685,0.09159527719020844,0.0001
296960,39,1027,8,0.7535233497619629,0.07908203125,-0.34322389617562293,0.2,0.0074300976,570,0.21484587401151656,-0.0037581652216613294,0.10231763124465942,0.0001
302080,46,999,9,0.8149635195732117,0.076015625,-0.37471136793494225,0.2,0.0058091795,580,0.20967490546405315,-0.00454931688727811,0.06974343955516815,0.0001
307200,52,983,10,0.7448444366455078,0.06603515625,-0.34814263343811036,0.2,0.006335384,590,0.24527545467019082,-0.00515023747459054,0.10882672667503357,0.0001
312320,3,1659,1,0.8306955099105835,0.068125,-0.33501895487308503,0.2,0.005977656,600,0.23301550634205342,-0.004824287497904152,0.10098759084939957,0.0001
317440,8,1195,2,0.8420383334159851,0.07853515625,-0.3624591429531574,0.2,0.009179262,610,0.2796244882792234,-0.006213048091158271,0.11624006181955338,0.0001
322560,13,1132,3,0.7916420698165894,0.0632421875,-0.3168009585142136,0.2,0.0060269963,620,0.3062591367214918,-0.005193375528324396,0.1399296075105667,0.0001
327680,18,1078,4,0.8191381692886353,0.06671875,-0.32975052259862425,0.2,0.0057667037,630,0.31310002878308296,-0.004215635152067989,0.13934367895126343,0.0001
332800,24,1048,5,0.7555618286132812,0.07712890625,-0.32821987256407736,0.2,0.008671927,640,0.36336551770567893,-0.005962272251490503,0.13873419165611267,0.0001
337920,29,1031,6,0.7827752828598022,0.074375,-0.3458150969445705,0.2,0.0066212537,650,0.39081035047769547,-0.006302212737500668,0.19935090839862823,0.0001
343040,35,1023,7,0.6058821678161621,0.0541015625,-0.2659315712749958,0.2,0.004549485,660,0.29223776392638684,-0.003035086034797132,0.11912299692630768,0.0001
348160,39,1024,8,0.7575939893722534,0.0665234375,-0.31229248017072675,0.2,0.0054838043,670,0.2444236419349909,-0.005068792991805821,0.11123216897249222,0.0001
353280,45,1019,9,0.7194877862930298,0.0509765625,-0.29233660399913786,0.2,0.0058508073,680,0.24557608753442764,-0.0048471855721436445,0.09787791222333908,0.0001
358400,50,1013,10,0.7934575080871582,0.07537109375,-0.346343446969986,0.2,0.0041674254,690,0.2657034434378147,-0.0021238548785913734,0.14057348668575287,0.0001
363520,2,1987,1,0.7678120136260986,0.0572265625,-0.2954846797883511,0.2,0.0053063957,700,0.23474123567342758,-0.0057794657396152615,0.09887980669736862,0.0001
368640,8,1261,2,0.7420763373374939,0.05201171875,-0.2509924802929163,0.2,0.0066792294,710,0.1927981039136648,-0.003120748419314623,0.11395038664340973,0.0001
373760,13,1167,3,0.7778745293617249,0.0741015625,-0.36537027582526205,0.2,0.006264268,720,0.32052879974246024,-0.00628099464578554,0.14408379793167114,0.0001
378880,18,1115,4,0.8074735403060913,0.07009765625,-0.3550370009243488,0.2,0.0071203923,730,0.3041435883194208,-0.007330586505122483,0.1051035225391388,0.0001
384000,23,1089,5,0.7839319705963135,0.07306640625,-0.36792718127369883,0.2,0.006603344,740,0.2932065900415182,-0.0031074250873643905,0.09879297763109207,0.0001
389120,28,1085,6,0.7551159858703613,0.0647265625,-0.30266839519143107,0.2,0.010089794,750,0.27313449487090113,-0.0038845608127303422,0.12039730697870255,0.0001
394240,33,1076,7,0.4799076318740845,0.06310546875,-0.2172046995162964,0.2,0.0061643496,760,0.17325114250183105,-0.005789790286216885,0.06314600259065628,0.0001
399360,38,1070,8,0.7939320802688599,0.06126953125,-0.28344288721680644,0.2,0.005015817,770,0.1341554019972682,-0.0035030936636030676,0.050766296684741974,0.0001
404480,43,1064,9,0.6759680509567261,0.07443359375,-0.2458610685914755,0.2,0.0094075445,780,0.15432240772992373,-0.012121051554568113,0.05384966358542442,0.0001
409600,48,1060,10,0.7031325101852417,0.0665234375,-0.26222690418362615,0.2,0.007636758,790,0.20108425296843052,-0.004527715342119336,0.09890911728143692,0.0001
414720,2,2272,1,0.6218618154525757,0.0534765625,-0.2190364545583725,0.2,0.0074067214,800,0.15393697947263718,-0.0027609793725423513,0.06200732663273811,0.0001
419840,8,1277,2,0.7786501049995422,0.0652734375,-0.2613477235287428,0.2,0.008460794,810,0.14711336210370063,-0.004962005144916475,0.08191228657960892,0.0001
424960,13,1159,3,0.8195089101791382,0.063984375,-0.3034926072508097,0.2,0.0056329304,820,0.16386704199016094,-0.006831763262161985,0.07302356511354446,0.0001
430080,18,1106,4,0.7716023921966553,0.0564453125,-0.23501183971762657,0.2,0.0051619867,830,0.11790627248585224,-0.0024528534105047583,0.04036625474691391,0.0001
435200,24,1062,5,0.7969762086868286,0.0675390625,-0.2176922409981489,0.2,0.0075523765,840,0.11496002085506916,-0.008248460430186242,0.01894141174852848,0.0001
440320,29,1046,6,0.7113810777664185,0.050546875,-0.18745813332498074,0.2,0.005890896,850,0.08968927204608917,-0.0051347077696118505,0.03368106484413147,0.0001
445440,34,1032,7,0.8240435719490051,0.07109375,-0.2824944495409727,0.2,0.006688612,860,0.10667650885879994,-0.007379323951900005,0.05027196928858757,0.0001
450560,40,1016,8,0.7200947999954224,0.05427734375,-0.23436394095420837,0.2,0.0056300806,870,0.12744131330400704,-0.004839544480200857,0.037461429834365845,0.0001
455680,45,1012,9,0.6890387535095215,0.06259765625,-0.24921491444110871,0.2,0.008750217,880,0.12422317154705524,-0.005216525250580162,0.05803234875202179,0.0001
460800,50,1005,10,0.6881868243217468,0.0719921875,-0.2712830452620983,0.2,0.008411513,890,0.133999814838171,-0.005348417835775763,0.04038963094353676,0.0001
465920,2,1724,1,0.7637842297554016,0.04904296875,-0.2617695078998804,0.2,0.005728804,900,0.11339736754074693,-0.007216441873461008,0.040290385484695435,0.0001
471040,8,1246,2,0.8302466869354248,0.07626953125,-0.46469574734568597,0.2,0.0078707915,910,0.16910176310688257,-0.007322330162860453,0.04706341028213501,0.0001
476160,13,1158,3,0.7480267286300659,0.07751953125,-0.4364245657622814,0.2,0.007505504,920,0.25719636142253877,-0.006074137527029962,0.08511794358491898,0.0001
481280,18,1115,4,0.717078447341919,0.0741796875,-0.36852940648794175,0.2,0.0071026026,930,0.22458244569599628,-0.009479626128450037,0.08634097874164581,0.0001
486400,23,1086,5,0.7347604036331177,0.070625,-0.3743662118911743,0.2,0.0066684685,940,0.22825539834797381,-0.0046726385853253305,0.08301758021116257,0.0001
