time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/ent_coef,train/loss,curriculum/grid_size,train/entropy_loss,curriculum/preferred_eval_mode,curriculum/stage_timesteps,train/n_updates,curriculum/obs_quantity,curriculum/stage,train/approx_kl,train/learning_rate,train/stage_learning_rate,train/policy_gradient_loss,curriculum/max_steps,train/value_loss,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/std_reward,eval/deterministic,eval/stage,eval/std_ep_length,eval/full_coverage_rate,eval/mean_ep_length,eval/stage_timesteps,eval/promotion_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/mode_gap,eval/deterministic_full_coverage_rate,eval/diagnostic_full_coverage_rate
22,240640,32.05,6,1375,7.548097133636475,,0.10128078609704971,,-0.3039074322581291,,,230,,,0.005662862,0.0001,,-0.0016297593479976057,,0.20494357198476792,0.6545416116714478,0.0623828125,0.2,,,,,,,,,,,,,
26,245760,35.32,7,1360,7.392750263214111,,0.09057974815368652,,-0.31781420797109605,,,235,,,0.008038478,0.0001,,0.0008110177796334028,,0.18358742877840994,0.666696310043335,0.07078125,0.2,,,,,,,,,,,,,
30,250880,36.12,8,1349,7.298295974731445,,0.07821745425462723,,-0.35786925464868546,,,240,,,0.0059385155,0.0001,,-0.0045557976490817964,,0.1674574077129364,0.7751628756523132,0.0650390625,0.2,,,,,,,,,,,,,
34,256000,34.85,9,1332,7.344141006469727,,0.07659468054771423,,-0.35607137471437456,,,245,,,0.0038416875,0.0001,,-0.0026561543624848125,,0.1917780351638794,0.8178482055664062,0.0712890625,0.2,,,,,,,,,,,,,
38,261120,34.61,10,1332,7.442278861999512,,0.09937881678342819,,-0.3432400518655777,,,250,,,0.0062218956,0.0001,,-0.004156227014027536,,0.21387791574001314,0.7850563526153564,0.071953125,0.2,,,,,,,,,,,,,
,,,,,,,0.06225627288222313,,-0.28550440818071365,,,255,,,0.006310596,0.0001,,-0.003462042952887714,,0.18925172552466393,0.7411165237426758,0.0758203125,0.2,7.466744108200073,1.1235037831501076,0,1,19.750592396178902,0.99,32.71,256000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.713545310497284,2.874495685281887,1,1,50.79856690891978,0.94,44.16,256000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,256000,0.94,0.99,0.050000000000000044,0.94,0.99
2,266240,32.29,1,1799,7.526641845703125,0.0010000000000000009,,5,,1,256000,,3,1,,,0.0001,,200,,,,,,,,,,,,,,,,,
7,271360,30.22,2,1434,7.586942672729492,,0.04542742297053337,,-0.2935320584475994,,,260,,,0.0044407253,0.0001,,-0.0033296735212206842,,0.15075192376971244,0.7787717580795288,0.0478515625,0.2,,,,,,,,,,,,,
11,276480,33.79,3,1392,7.472266674041748,,0.057463888078927994,,-0.27727279528975485,,,265,,,0.005866799,0.0001,,-0.003405739581212401,,0.13839071795344352,0.7501013278961182,0.0644140625,0.2,,,,,,,,,,,,,
14,281600,32.43,4,1379,7.458949089050293,,0.10323434323072433,,-0.32941038757562635,,,270,,,0.008023811,0.0001,,-0.0024999752594158054,,0.14187193639576434,0.8460234999656677,0.074140625,0.2,,,,,,,,,,,,,
18,286720,30.22,5,1367,7.580352783203125,,0.05148965120315552,,-0.2522761416435242,,,275,,,0.005516655,0.0001,,-0.004909322811290622,,0.13946384347975255,0.788662850856781,0.05125,0.2,,,,,,,,,,,,,
22,291840,32.11,6,1359,7.459585189819336,,0.06228761374950409,,-0.2505889093875885,,,280,,,0.005797128,0.0001,,-0.003539039860479534,,0.12287399135529994,0.6684670448303223,0.0552734375,0.2,,,,,,,,,,,,,
26,296960,35.64,7,1359,7.315840244293213,,0.0428617000579834,,-0.27857490986585615,,,285,,,0.00569002,0.0001,,-0.0038310815021395683,,0.10664275385439397,0.6806943416595459,0.0613671875,0.2,,,,,,,,,,,,,
30,302080,33.44,8,1357,7.481273174285889,,0.054324354976415634,,-0.3046053218841553,,,290,,,0.005463767,0.0001,,-0.0037666643038392067,,0.1359340476244688,0.7864964008331299,0.0549609375,0.2,,,,,,,,,,,,,
33,307200,32.5,9,1358,7.530284404754639,,0.04299425333738327,,-0.2810598063468933,,,295,,,0.0048917807,0.0001,,-0.0030560636753216384,,0.11974366284906864,0.7484723329544067,0.0581640625,0.2,,,,,,,,,,,,,
37,312320,31.85,10,1355,7.530027389526367,,0.04515340179204941,,-0.29636680632829665,,,300,,,0.0056442847,0.0001,,-0.0027090451586991547,,0.1334781004488468,0.738397479057312,0.0555078125,0.2,,,,,,,,,,,,,
,,,,,,,0.05555334687232971,,-0.24523044124245644,,,305,,,0.0060950667,0.0001,,-0.0025524043990299105,,0.11105837576091289,0.702171266078949,0.05125,0.2,7.6351930093765255,0.15398741352081072,0,1,6.90191277835355,1.0,27.94,307200,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.814954328536987,2.473116474533426,1,1,46.69743461904519,0.95,44.64,307200,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,307200,0.95,1.0,0.050000000000000044,0.95,1.0
2,317440,31.65,1,1805,7.54400634765625,0.0010000000000000009,,5,,1,307200,,3,1,,,0.0001,,200,,,,,,,,,,,,,,,,,
6,322560,33.67,2,1465,7.468790054321289,,0.05506431311368942,,-0.2549619224667549,,,310,,,0.008098672,0.0001,,-0.0044818258006125685,,0.09294461771845818,0.7215836048126221,0.0679296875,0.2,,,,,,,,,,,,,
10,327680,31.77,3,1424,7.524301052093506,,0.03799302875995636,,-0.2709419529139996,,,315,,,0.006668642,0.0001,,-0.004555177423171699,,0.10484965063631535,0.7778815031051636,0.06671875,0.2,,,,,,,,,,,,,
14,332800,37.55,4,1408,7.298222541809082,,0.06090960279107094,,-0.298632632791996,,,320,,,0.0050972085,0.0001,,-0.0017317371163517237,,0.14669028870761394,0.7621077299118042,0.079921875,0.2,,,,,,,,,,,,,
18,337920,37.3,5,1400,7.270420074462891,,0.05628199875354767,,-0.3306590905785561,,,325,,,0.005748268,0.0001,,-0.0016421889420598745,,0.12737857908010483,0.7816203832626343,0.0678515625,0.2,,,,,,,,,,,,,
22,343040,34.17,6,1390,7.420846939086914,,0.10943269729614258,,-0.33819455057382586,,,330,,,0.0056821657,0.0001,,-0.0030823234422132375,,0.1877618058025837,0.688633918762207,0.0746484375,0.2,,,,,,,,,,,,,
25,348160,30.51,7,1382,7.498812675476074,,0.08274386078119278,,-0.31164884120225905,,,335,,,0.004625603,0.0001,,-0.002285518245771527,,0.15945523902773856,0.7212197780609131,0.0595703125,0.2,,,,,,,,,,,,,
29,353280,31.12,8,1367,7.5606369972229,,0.04568271338939667,,-0.274004063308239,,,340,,,0.005437351,0.0001,,-0.0034851047629490496,,0.12379377946257591,0.7929438352584839,0.053203125,0.2,,,,,,,,,,,,,
33,358400,33.76,9,1364,7.3771820068359375,,0.029573164880275726,,-0.24761640563607215,,,345,,,0.0060085403,0.0001,,-0.0038358546700328587,,0.08612123109400273,0.8148067593574524,0.06640625,0.2,,,,,,,,,,,,,
37,363520,30.45,10,1363,7.558778762817383,,0.061788078397512436,,-0.2927175144851208,,,350,,,0.0066677257,0.0001,,-0.0013318251445889474,,0.13402323342859745,0.7831717729568481,0.07171875,0.2,,,,,,,,,,,,,
,,,,,,,0.030338259413838387,,-0.25110941618680954,,,355,,,0.005749979,0.0001,,-0.0022772456146776675,,0.12600613586604595,0.7544687986373901,0.061875,0.2,7.665164618492127,0.06526530377992237,0,1,4.582782997262689,1.0,26.09,358400,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.052619132995606,2.1962836267062382,1,1,41.706799205884884,0.96,38.73,358400,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,358400,0.96,1.0,0.040000000000000036,0.96,1.0
2,368640,30.02,1,1781,7.587057590484619,0.0010000000000000009,,5,,1,358400,,3,1,,,0.0001,,200,,,,,,,,,,,,,,,,,
6,373760,30.3,2,1487,7.573125839233398,,0.047319527715444565,,-0.22969384163618087,,,360,,,0.0056087333,0.0001,,-0.0018253779225051404,,0.10620167277753353,0.6658200025558472,0.043515625,0.2,,,,,,,,,,,,,
10,378880,32.73,3,1434,7.392483711242676,,0.05202636495232582,,-0.19209833785891534,,,365,,,0.007902221,0.0001,,-0.002877352428622544,,0.08404471058398486,0.6378223896026611,0.05140625,0.2,,,,,,,,,,,,,
14,384000,29.19,4,1405,7.603062629699707,,0.022313537076115608,,-0.26564205706119537,,,370,,,0.0072155297,0.0001,,-0.00345037289429456,,0.08357178498059512,0.7530757188796997,0.07078125,0.2,,,,,,,,,,,,,
18,389120,30.56,5,1390,7.550999641418457,,0.02248060144484043,,-0.21760107845067977,,,375,,,0.0046242666,0.0001,,-0.000722908778116107,,0.06995007865130902,0.780097484588623,0.0479296875,0.2,,,,,,,,,,,,,
22,394240,26.95,6,1383,7.651562690734863,,0.04627135396003723,,-0.22690151929855346,,,380,,,0.007343634,0.0001,,-0.0016552308946847915,,0.09706034682691098,0.7743774652481079,0.0663671875,0.2,,,,,,,,,,,,,
25,399360,28.33,7,1378,7.6093926429748535,,0.011730392463505268,,-0.16609053418040276,,,385,,,0.0068905554,0.0001,,-0.0023353161849081518,,0.03944511495530605,0.7728571891784668,0.0408203125,0.2,,,,,,,,,,,,,
29,404480,30.14,8,1373,7.563716411590576,,0.023120911791920662,,-0.21573135897517204,,,390,,,0.0052973456,0.0001,,-0.0027419972186908128,,0.06718348108232021,0.7904504537582397,0.06390625,0.2,,,,,,,,,,,,,
