time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/stage_learning_rate,curriculum/stage,train/ent_coef,curriculum/max_steps,curriculum/obs_quantity,curriculum/stage_timesteps,curriculum/grid_size,curriculum/preferred_eval_mode,eval/mean_reward,eval/mean_ep_length,eval/deterministic,eval/full_coverage_rate,eval/std_reward,eval/stage,eval/std_ep_length,eval/stage_timesteps,eval/deterministic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/promotion_passed,eval/mode_gap,eval/stochastic_quality_passed,eval/promotion_min_mean_reward,eval/deterministic_promotion_floor,eval/deterministic_quality_passed
7,4.675244331359863,74240,73,91.59,243,-0.00870603290386498,0.2,0.012234418,7e-05,0.1334375,0.20575974881649017,135,0.12591034173965454,-1.0672068357467652,0.5910496935248375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.381335258483887,76800,87,83.35,234,-0.005502156065776944,0.2,0.009594826,7e-05,0.116796875,0.1761718988418579,140,0.14992737770080566,-1.0447065937519073,0.5773027241230011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5.677267074584961,79360,100,79.19,229,-0.00583573087118566,0.2,0.016297773,7e-05,0.14375,0.09922248870134354,145,0.13340860605239868,-1.0206494122743606,0.39057089686393737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5.896829128265381,81920,101,73.58,251,0.014976577833294868,0.2,0.01328415,7e-05,0.1453125,0.3262774646282196,146,0.20266461372375488,-1.0154043436050415,0.3300157576799393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6.063664436340332,84480,113,68.33,247,-0.007197339804843068,0.2,0.011622497,7e-05,0.159140625,0.09987452626228333,151,0.18719249963760376,-0.9649948352575302,0.37393114164471625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6.216960430145264,87040,125,65.89,244,-0.006580344783142209,0.2,0.012412027,7e-05,0.12765625,0.09934105724096298,156,0.23314517736434937,-0.9366700547933579,0.26205038130283353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6.128767013549805,89600,130,68.47,255,0.0024849278054067067,0.2,0.01353995,7e-05,0.128125,0.30186718702316284,158,0.37335819005966187,-0.9089958207947867,0.2622184325541769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5.716426372528076,92160,132,74.83,269,0.012360310938674957,0.2,0.020675404,7e-05,0.1962890625,0.12086602300405502,159,0.5125788450241089,-0.9484167732298374,0.2819632301107049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5.751080513000488,94720,140,73.98,273,-0.002214264647479643,0.2,0.015434446,7e-05,0.12321820175438597,0.14167582988739014,162,0.36121201515197754,-0.9453749907644171,0.3435925169472109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6.2151875495910645,97280,144,66.93,283,0.008096967984376282,0.2,0.018147357,7e-05,0.17510775862068967,0.7324755787849426,164,0.376182496547699,-0.9108944062528939,0.480346566130375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
