rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/policy_gradient_loss,curriculum/grid_size,curriculum/max_steps,train/value_loss,train/learning_rate,curriculum/obs_quantity,train/loss,curriculum/stage,curriculum/stage_timesteps,train/approx_kl,train/clip_fraction,curriculum/preferred_eval_mode,train/stage_learning_rate,train/n_updates,train/ent_coef,train/clip_range,train/entropy_loss,train/explained_variance,eval/stage,eval/mean_reward,eval/stage_timesteps,eval/mean_ep_length,eval/std_ep_length,eval/full_coverage_rate,eval/deterministic,eval/std_reward,eval/deterministic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/stochastic_full_coverage_rate,eval/promotion_full_coverage_rate
,,,,,,,,,,,,,,,,,,,,,,,,1,,153600,,,,,,0.76,1.0,0.24,1.0,0.76
32.48,163840,3,7.468636512756348,1564,1,,5,200,,,3,,1,153600,,,1,0.0001,,0.0010000000000000009,,,,,,,,,,,,,,,,
34.04,168960,9,7.42252254486084,1044,2,-0.005248741875402629,,,0.08282089918851852,0.0001,,0.033768828958272934,,,0.008607087,0.07359375,,,160,,0.2,-0.30346469014883043,0.6977056264877319,,,,,,,,,,,,,
37.38,174080,16,7.2785563468933105,938,3,-0.002686156006529927,,,0.07691817097365856,0.0001,,0.029362404718995094,,,0.00744876,0.0587890625,,,165,,0.2,-0.28175419121980666,0.6779978275299072,,,,,,,,,,,,,
32.63,179200,22,7.492471218109131,893,4,-0.003217804590240121,,,0.09307465828955173,0.0001,,0.04144750162959099,,,0.0054253424,0.057734375,,,170,,0.2,-0.28939520061016083,0.6059267520904541,,,,,,,,,,,,,
34.95,184320,29,7.294289588928223,875,5,-0.000596252060495317,,,0.08196286879479885,0.0001,,0.024590641260147095,,,0.003749172,0.0462890625,,,175,,0.2,-0.2685223907232285,0.6758513450622559,,,,,,,,,,,,,
30.24,189440,35,7.599454879760742,865,6,-0.0015116496477276086,,,0.10203247904777527,0.0001,,0.0377948135137558,,,0.00810233,0.0627734375,,,180,,0.2,-0.2778400880098343,0.6976467967033386,,,,,,,,,,,,,
33.43,194560,41,7.430471420288086,855,7,-0.001156774410046637,,,0.05473183076828718,0.0001,,0.03101525269448757,,,0.006908527,0.0496875,,,185,,0.2,-0.24502151399850847,0.5737490653991699,,,,,,,,,,,,,
31.77,199680,48,7.48561954498291,846,8,0.0018316314183175564,,,0.07933538287878036,0.0001,,0.03869445249438286,,,0.0039352076,0.0393359375,,,190,,0.2,-0.2429287376999855,0.6527941823005676,,,,,,,,,,,,,
29.87,204800,54,7.6018571853637695,844,9,-0.00603103092405945,,,0.053557633310556414,0.0001,,0.009308692067861557,,,0.0059947586,0.0558984375,,,195,,0.2,-0.2288009561598301,0.6875156760215759,,,,,,,,,,,,,
31.32,209920,60,7.5541582107543945,841,10,-0.0035005672974511982,,,0.04188558597117662,0.0001,,0.00726026576012373,,,0.0055148443,0.040546875,,,200,,0.2,-0.21748595878481866,0.6889691948890686,,,,,,,,,,,,,
,,,,,,-0.0009146855585277081,,,0.05502811424434185,0.0001,,0.027053603902459145,,,0.004044839,0.0455078125,,,205,,0.2,-0.22566860556602478,0.7607083320617676,1,7.605556616783142,204800,29.78,8.183617781885957,1.0,0,0.1665104410224678,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,6.210062792301178,204800,46.39,56.813712253293225,0.88,1,3.986576624084886,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,,204800,,,,,,0.88,1.0,0.12,1.0,0.88
34.77,215040,3,7.397096633911133,1480,1,,5,200,,,3,,1,204800,,,1,0.0001,,0.0010000000000000009,,,,,,,,,,,,,,,,
35.6,220160,10,7.327181816101074,1021,2,-0.0037710268842056395,,,0.06066962443292141,0.0001,,0.011632997542619705,,,0.0057903444,0.062109375,,,210,,0.2,-0.2282401628792286,0.5854671001434326,,,,,,,,,,,,,
32.46,225280,16,7.537078857421875,944,3,-0.0033832336449995636,,,0.06686552312225104,0.0001,,0.04016368091106415,,,0.0062538995,0.0588671875,,,215,,0.2,-0.2438041825592518,0.7378670573234558,,,,,,,,,,,,,
32.13,230400,22,7.468551158905029,906,4,-0.00209730866830796,,,0.0724120669811964,0.0001,,0.012992514297366142,,,0.006342304,0.05171875,,,220,,0.2,-0.24718691408634186,0.7535179853439331,,,,,,,,,,,,,
