time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
2,363520,1,1900,-0.2720974460244179,0.2424336826056242,0.2,0.011534235,0.10072684288024902,700,0.6127645969390869,0.0001,0.08654296875,-0.00868118176003918
8,368640,2,1278,-0.3166844828426838,0.259929783269763,0.2,0.007169424,0.14164987206459045,710,0.7267381548881531,0.0001,0.0746484375,-0.004673379755113274
13,373760,3,1177,-0.2176769059151411,0.2059727219492197,0.2,0.0114688,0.08368060737848282,720,0.44055211544036865,0.0001,0.06609375,-0.0018196229822933674
18,378880,4,1137,-0.2388106955587864,0.196099765971303,0.2,0.007490876,0.07594755291938782,730,0.6218825578689575,0.0001,0.06337890625,-0.0056900152866728605
23,384000,5,1111,-0.2175196883827448,0.17936383072286843,0.2,0.0074090986,0.07800562679767609,740,0.6652966141700745,0.0001,0.05935546875,-0.004820400916505605
28,389120,6,1082,-0.23686222039163113,0.20517412096261978,0.2,0.007041174,0.07572481781244278,750,0.6733083724975586,0.0001,0.07076171875,-0.00580769359250553
33,394240,7,1070,-0.19277857236564158,0.19879828363656998,0.2,0.0058260737,0.10546375811100006,760,0.5349085330963135,0.0001,0.05048828125,-0.002661721487529576
38,399360,8,1066,-0.26412263996899127,0.23204306654632093,0.2,0.006832145,0.07629631459712982,770,0.7352995872497559,0.0001,0.06720703125,-0.004676247972529381
43,404480,9,1059,-0.1717544398456812,0.1622989383339882,0.2,0.0071271053,0.0572066605091095,780,0.4288053512573242,0.0001,0.059609375,-0.004497059395071119
48,409600,10,1054,-0.19883292861282825,0.1511636671051383,0.2,0.006660284,0.07930134236812592,790,0.653816819190979,0.0001,0.06859375,-0.003205740547273308
2,414720,1,1849,-0.2431749375164509,0.19763887748122216,0.2,0.008281401,0.09416162967681885,800,0.604684591293335,0.0001,0.0754296875,-0.004421800270210952
8,419840,2,1245,-0.21931995823979378,0.1969828237593174,0.2,0.01117593,0.07815223932266235,810,0.6659354567527771,0.0001,0.06587890625,-0.004388385454658419
13,424960,3,1125,-0.22159344881772994,0.2306911000609398,0.2,0.0058107874,0.10049042105674744,820,0.6552432775497437,0.0001,0.0623828125,-0.0033407552656717597
18,430080,4,1079,-0.2433493447303772,0.19522154964506627,0.2,0.0062804036,0.09462495148181915,830,0.7877553701400757,0.0001,0.05599609375,-0.003091548855882138
24,435200,5,1062,-0.23536847203969954,0.26751517087221144,0.2,0.0072735013,0.14263887703418732,840,0.7357980012893677,0.0001,0.0721484375,-0.0053823219216428695
29,440320,6,1056,-0.2110947098582983,0.20457331895828246,0.2,0.0054247226,0.10795815289020538,850,0.8094695210456848,0.0001,0.05525390625,-0.005288694559130818
33,445440,7,1055,-0.2268588910996914,0.27094319082796575,0.2,0.007629253,0.09788516908884048,860,0.8171827793121338,0.0001,0.05552734375,-0.005747569021768868
38,450560,8,1050,-0.1640090572088957,0.19407506592571735,0.2,0.007616017,0.09804544597864151,870,0.6630632281303406,0.0001,0.04966796875,-0.004652215696405619
44,455680,9,1040,-0.16810913689434528,0.181582938618958,0.2,0.0067353835,0.06950338184833527,880,0.5064390897750854,0.0001,0.05064453125,-0.006759098425973207
49,460800,10,1039,-0.17651962876319885,0.1873949658870697,0.2,0.006643161,0.06738557666540146,890,0.7171775102615356,0.0001,0.05287109375,-0.0032942507101688533
3,465920,1,1647,-0.17737397752702236,0.1741863355413079,0.2,0.007393314,0.06745629012584686,900,0.6527172327041626,0.0001,0.0586328125,-0.005013450667029247
8,471040,2,1177,-0.34970547899603843,0.15452790435403585,0.2,0.012208698,0.05972948297858238,910,0.6885604858398438,0.0001,0.08638671875,-0.0046955711068585515
13,476160,3,1103,-0.3397262753546238,0.16582097955048083,0.2,0.01030965,0.07494091242551804,920,0.6747591495513916,0.0001,0.104140625,-0.007903213980607688
19,481280,4,1061,-0.2997189709544182,0.18184535931795837,0.2,0.01264586,0.07212577760219574,930,0.6369628310203552,0.0001,0.10375,-0.0051037758262828
