time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance,train/n_updates,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/loss,curriculum/stage_timesteps,curriculum/obs_quantity,curriculum/max_steps,curriculum/grid_size,curriculum/stage,train/stage_learning_rate,curriculum/preferred_eval_mode,train/ent_coef,eval/stage_timesteps,eval/full_coverage_rate,eval/mean_reward,eval/deterministic,eval/mean_ep_length,eval/stage,eval/std_ep_length,eval/std_reward,eval/stochastic_quality_passed,eval/promotion_max_mean_length,eval/deterministic_quality_passed,eval/promotion_full_coverage_rate,eval/promotion_passed,eval/stochastic_full_coverage_rate,eval/deterministic_full_coverage_rate,eval/coverage_promotion_passed,eval/deterministic_promotion_floor,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/promotion_min_mean_reward,eval/quality_promotion_passed
266240,534,53.06,28,6,5.355835437774658,-0.7472987174987793,0.830849289894104,433,1.4581265474359195,0.23502604166666666,0.1,0.00607284,0.011092219268903136,7e-05,1.391893744468689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268800,494,56.15,36,7,5.219733715057373,-0.7344667148590088,0.8068620562553406,436,1.1495714938640595,0.20859375,0.1,0.00642809,0.004734473712742329,7e-05,2.7682182788848877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271360,533,57.16,38,8,5.2322821617126465,-0.770891135931015,0.9307284951210022,437,0.866450747847557,0.1125,0.1,0.0028484114,0.0011427449993789197,7e-05,0.39373472332954407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273920,573,57.92,40,9,5.075873851776123,-0.7893131176630656,0.873769998550415,438,1.2268579353888829,0.1875,0.1,0.0055855387,0.005239073497553666,7e-05,0.5015875101089478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276480,544,63.05,47,10,4.607119560241699,-0.7614945717025221,0.9132347106933594,441,1.0389746725559235,0.2040844298245614,0.1,0.005118997,0.0034082604964312756,7e-05,0.8949228525161743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.7871179699897766,0.8973787426948547,442,1.547941868007183,0.1703125,0.1,0.005137286,0.007012819498777389,7e-05,0.06425349414348602,,,,,,,,,256000,0.96,5.118166117668152,0,58.44,1,42.09425614023842,4.759761295766171,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,256000,0.8,3.846671147942543,1,65.76,1,67.36454854001472,9.949172538220429,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,256000,,,,,1,,,0,45.0,0,0.96,0,0.96,0.8,0,0.693,0.96,0.15999999999999992,6.75,0
279040,2537,66.71,1,1,4.2930073738098145,,,,,,,,,,,256000,3,200,5,1,7e-05,1,0.0010000000000000009,,,,,,,,,,,,,,,,,,,,,
281600,727,61.57,7,2,4.8687238693237305,-0.786291942951527,0.8494458794593811,445,1.6159517397271825,0.15641622340425532,0.1,0.008211917,0.0031701063420227233,7e-05,0.39590010046958923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284160,743,56.94,10,3,5.414305210113525,-0.7175682109335194,0.8151422739028931,447,1.360457873214846,0.16032608695652173,0.1,0.007277943,0.006013417049594547,7e-05,0.9880774617195129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286720,594,58.85,17,4,5.301349639892578,-0.7236035615205765,0.9073752164840698,450,0.9567082755799804,0.22042410714285715,0.1,0.005985284,0.003082193517392235,7e-05,0.6348831653594971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289280,579,53.96,22,5,5.5057854652404785,-0.702605152130127,0.9181109666824341,452,0.6611620877470289,0.1734375,0.1,0.005431424,0.006653939453618867,7e-05,0.09998327493667603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291840,482,51.34,31,6,5.761373519897461,-0.6952852968658719,0.8014650344848633,457,1.1686320954135485,0.17792038690476192,0.1,0.0122438185,0.0028229342063977605,7e-05,0.7286601662635803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294400,536,52.8,33,7,5.707543849945068,-0.7192761798699697,0.8395826816558838,458,1.3599163095156352,0.2552083333333333,0.1,0.0072514047,0.00827781002347668,7e-05,0.9143770933151245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296960,549,56.76,37,8,5.440673828125,-0.6990289564790397,0.8630061149597168,460,1.739502518341459,0.1058728448275862,0.1,0.005742488,0.0031009766690689943,7e-05,2.920614242553711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299520,557,55.77,41,9,5.596943378448486,-0.7339558498612766,0.9089920520782471,462,1.035882159553725,0.19288793103448276,0.1,0.0083182575,0.003814591705028353,7e-05,0.14067228138446808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302080,576,47.99,44,10,6.4232306480407715,-0.6644705832004547,0.8409846425056458,464,0.9190609035166827,0.18963068181818182,0.1,0.01219359,0.007673106918280775,7e-05,0.43375223875045776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
