time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/explained_variance,train/loss,train/clip_range,train/n_updates,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
50000,,,,0.16184937953948975,-0.008966431021690369,0.2,120,0.015233062,0.11419147122651338,-0.017802458070218564,0.172802734375,0.0003,-0.8012212578207254,34.03399878263473,51.12
53248,130,407,13,,,,,,,,,,,,
57344,132,434,14,-0.05281388759613037,-0.011125542223453522,0.2,130,0.011610026,0.11506219608709216,-0.014571804806473665,0.1556396484375,0.0003,-0.7919829297810793,,
60000,,,,0.20864439010620117,-0.006423585116863251,0.2,140,0.015717406,0.10425789454020559,-0.013190252223284914,0.1455322265625,0.0003,-0.7822344660758972,30.753998752832413,53.62
61440,130,470,15,,,,,,,,,,,,
65536,132,495,16,0.15802836418151855,-0.009853940457105637,0.2,150,0.013202282,0.1109635742381215,-0.013598548558366019,0.1414794921875,0.0003,-0.7627044063061476,,
69632,133,522,17,0.20359677076339722,-0.02308100089430809,0.2,160,0.012567454,0.0841325887478888,-0.017451320501277224,0.1672119140625,0.0003,-0.7463389966636896,,
70000,,,,0.3304447531700134,-0.012024272233247757,0.2,170,0.014749838,0.09942010468803346,-0.0204766816314077,0.1577880859375,0.0003,-0.765445151552558,35.15599882006645,47.98
73728,132,556,18,,,,,,,,,,,,
77824,133,581,19,0.36271393299102783,-0.0010039806365966797,0.2,180,0.012169758,0.11461443710140884,-0.016025685488421003,0.14501953125,0.0003,-0.7396492026746273,,
80000,,,,0.3933805227279663,0.005940057337284088,0.2,190,0.012688346,0.12588049173355104,-0.016300244911690243,0.161376953125,0.0003,-0.7321639534085989,38.18799887418747,43.44
81920,132,616,20,,,,,,,,,,,,
86016,133,641,21,0.39779341220855713,0.00794345885515213,0.2,200,0.015090764,0.15046368376351893,-0.013058135300525464,0.1513671875,0.0003,-0.7246914193034172,,
90000,,,,0.30991071462631226,-0.013421956449747086,0.2,210,0.012330094,0.10929637630470097,-0.012447214862913825,0.139501953125,0.0003,-0.7016795355826616,38.281998878717424,43.06
90112,133,675,22,,,,,,,,,,,,
94208,134,700,23,0.3172418475151062,-0.020421557128429413,0.2,220,0.012082944,0.09551102761179209,-0.013012630584125873,0.145751953125,0.0003,-0.6885333996266126,,
98304,135,725,24,0.3476114273071289,-0.020268753170967102,0.2,230,0.013622568,0.07425518995150923,-0.018066108136554248,0.1467529296875,0.0003,-0.6716275703161955,,
100000,,,,0.47434306144714355,-0.01797325164079666,0.2,240,0.015593812,0.11994576924480498,-0.017296790676482487,0.163818359375,0.0003,-0.663913742825389,40.42199893474579,38.36
102400,135,757,25,,,,,,,,,,,,
106496,136,782,26,0.3874639868736267,0.005857896059751511,0.2,250,0.015001582,0.11264884257689119,-0.012783299849252217,0.17373046875,0.0003,-0.65955512188375,,
110000,,,,0.3781857490539551,-0.0066287703812122345,0.2,260,0.013777861,0.07751614265143872,-0.01624076961015817,0.14140625,0.0003,-0.6045535352081061,40.6019989323616,38.56
110592,135,814,27,,,,,,,,,,,,
114688,136,839,28,0.46764594316482544,-0.003364507108926773,0.2,270,0.019629788,0.10199680062942207,-0.016926988438353874,0.1683837890625,0.0003,-0.6303218815475702,,
118784,137,865,29,0.4411733150482178,-0.032779525965452194,0.2,280,0.014260054,0.07882478046230972,-0.015183548885397613,0.1497802734375,0.0003,-0.606781144067645,,
120000,,,,0.5255714058876038,-0.0075510963797569275,0.2,290,0.011537253,0.08426510544959456,-0.014126147794013378,0.143115234375,0.0003,-0.5855198636651039,34.64145343184471,43.7
122880,136,899,30,,,,,,,,,,,,
126976,137,925,31,0.5741357207298279,0.014801468700170517,0.2,300,0.01751687,0.13348194467835128,-0.012255286183790303,0.153662109375,0.0003,-0.6165166724473238,,
130000,,,,0.6498550772666931,0.008983906358480453,0.2,310,0.013480291,0.12595664341934026,-0.013337345655600075,0.157666015625,0.0003,-0.6221653606742621,41.22399894952774,37.12
131072,136,957,32,,,,,,,,,,,,
135168,137,983,33,0.6283078193664551,-0.02942478097975254,0.2,320,0.018817537,0.07591818964574486,-0.014422212656063494,0.1539306640625,0.0003,-0.6066170841455459,,
139264,137,1009,34,0.669330358505249,-0.01843155547976494,0.2,330,0.016141426,0.10870197685435415,-0.0133705698986887,0.1462646484375,0.0003,-0.602039336040616,,
140000,,,,0.3673214316368103,-0.016660351306200027,0.2,340,0.0151163265,0.08535547070205211,-0.011383810621919111,0.159423828125,0.0003,-0.5801963485777378,44.321999000310896,32.86
143360,137,1040,35,,,,,,,,,,,,
147456,138,1066,36,0.5759966373443604,-0.026030898094177246,0.2,350,0.016077098,0.09248870697338134,-0.017109109844022898,0.1526611328125,0.0003,-0.5992344625294208,,
150000,,,,0.5127476453781128,-0.01833094283938408,0.2,360,0.016198838,0.08753699962981046,-0.0159182998992037,0.153662109375,0.0003,-0.6056147925555706,38.05799889564514,41.64
151552,137,1099,37,,,,,,,,,,,,
155648,138,1125,38,0.4655005931854248,-0.017922423779964447,0.2,370,0.017853402,0.0723192268051207,-0.017947899576392957,0.1689453125,0.0003,-0.5970814302563667,,
159744,138,1151,39,0.4526260495185852,-0.017681315541267395,0.2,380,0.016462103,0.08089653376955538,-0.016977528811548837,0.152392578125,0.0003,-0.5686844259500503,,
160000,,,,0.5174988508224487,-0.027008790522813797,0.2,390,0.017180832,0.0793852175353095,-0.018419975449796767,0.159912109375,0.0003,-0.5555079810321331,39.84490804791451,37.14
163840,138,1184,40,,,,,,,,,,,,
167936,138,1210,41,0.5365756750106812,-0.0009218156337738037,0.2,400,0.015551722,0.16879292302764953,-0.01664814149698941,0.1519775390625,0.0003,-0.5727220755070448,,
170000,,,,0.6286755800247192,-0.0006114356219768524,0.2,410,0.014428377,0.14340793238952756,-0.017083942398312502,0.1521240234375,0.0003,-0.590878638625145,41.741998958587644,36.36
172032,138,1242,42,,,,,,,,,,,,
176128,138,1268,43,0.5230929851531982,0.0021939128637313843,0.2,420,0.019319743,0.10378093896433711,-0.016253710398450492,0.14697265625,0.0003,-0.561052611283958,,
180000,,,,0.45131611824035645,-0.007483936846256256,0.2,430,0.018008383,0.1196491414681077,-0.019971893564070343,0.152783203125,0.0003,-0.5528461681678891,40.141998933553694,38.46
180224,138,1301,44,,,,,,,,,,,,
184320,138,1326,45,0.517034649848938,-0.011231467127799988,0.2,440,0.011253374,0.1223971348721534,-0.015379916664824123,0.1283447265625,0.0003,-0.5539215369150042,,
188416,139,1353,46,0.4269302487373352,-0.010769039392471313,0.2,450,0.015424693,0.06777897363062949,-0.01571100035944255,0.1414306640625,0.0003,-0.5375916814431548,,
190000,,,,0.6054612398147583,-0.016191348433494568,0.2,460,0.01478106,0.07923743636347354,-0.01628495659242617,0.1387451171875,0.0003,-0.5703407879918814,43.53999898314476,34.3
192512,138,1385,47,,,,,,,,,,,,
196608,139,1410,48,0.5505164861679077,-0.0140300914645195,0.2,470,0.016742349,0.1282817273866385,-0.0168025289545767,0.1568603515625,0.0003,-0.5970154367387295,,
200000,,,,0.664771556854248,-0.033910319209098816,0.2,480,0.016034365,0.09223925466649234,-0.020266741988598368,0.165234375,0.0003,-0.5568442899733782,43.96799899935722,32.94
200704,139,1442,49,,,,,,,,,,,,
204800,139,1468,50,0.6488987803459167,-0.005694374442100525,0.2,490,0.015187814,0.13903288054279983,-0.017263433750486,0.15390625,0.0003,-0.5562608970329166,,
208896,139,1494,51,0.32209640741348267,-0.008887585252523422,0.2,500,0.015705293,0.11440005307085813,-0.016488003512495197,0.15966796875,0.0003,-0.5796504404395819,,
210000,,,,0.4989001750946045,-0.025548670440912247,0.2,510,0.015854586,0.06585265719331801,-0.012597670279501472,0.157861328125,0.0003,-0.5412579314783216,43.66599899172783,33.58
212992,139,1526,52,,,,,,,,,,,,
217088,139,1552,53,0.5423924326896667,-0.038714900612831116,0.2,520,0.025306102,0.054626402095891535,-0.01632742580550257,0.1865234375,0.0003,-0.5542503070086241,,
220000,,,,0.5463802814483643,-0.024075016379356384,0.2,530,0.019407205,0.08947070757858455,-0.016340049519203603,0.1551513671875,0.0003,-0.6065604891628027,42.88199898242951,34.36
221184,139,1584,54,,,,,,,,,,,,
225280,139,1611,55,0.6021279096603394,-0.035266149789094925,0.2,540,0.01678523,0.06899261137004942,-0.01822026119043585,0.150439453125,0.0003,-0.5683115050196648,,
229376,140,1637,56,0.578434407711029,-0.02396441251039505,0.2,550,0.015024395,0.09904279157053679,-0.01585027660476044,0.1625,0.0003,-0.5992826290428639,,
