rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/approx_kl,train/loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/n_updates,train/explained_variance,curriculum/stage,train/ent_coef,train/stage_learning_rate,curriculum/preferred_eval_mode,curriculum/stage_timesteps,curriculum/max_steps,curriculum/obs_quantity,curriculum/grid_size
-0.11084447801113129,216,28160,163.47,106,9,0.007275389,-0.028368012979626656,-1.3329128730297088,0.06140625,0.2,7e-05,-0.004008964216336608,0.30605048440396787,50,0.8042336106300354,,,,,,,,
0.0697009265422821,211,30720,160.67,120,10,0.006323801,0.76786869764328,-1.3315387761592865,0.047109375,0.2,7e-05,-0.005933539634570479,0.6184963787347079,55,0.7046011686325073,,,,,,,,
0.690035879611969,210,33280,155.74,133,11,0.0065253987,0.007460691034793854,-1.315925382375717,0.074140625,0.2,7e-05,-0.00739422052167356,0.4221137790940702,60,0.6592738032341003,,,,,,,,
0.7406610250473022,207,35840,156.52,148,12,0.0074842675,0.15839622914791107,-1.3060427570343018,0.0553125,0.2,7e-05,-0.0069551479537039995,0.5687513424828649,65,0.5730471611022949,,,,,,,,
1.01785409450531,206,38400,151.58,161,13,0.00592776,0.025184642523527145,-1.2804015719890594,0.067265625,0.2,7e-05,-0.006929983403533697,0.3031311497837305,70,0.6762844324111938,,,,,,,,
1.122626781463623,206,40960,149.42,173,14,0.0062693767,0.18925677239894867,-1.2691678988933563,0.0825,0.2,7e-05,-0.005586516540497541,0.3870343258231878,75,0.6290844678878784,,,,,,,,
1.350001573562622,206,43520,146.52,185,15,0.009851256,0.06876815855503082,-1.2607447755336763,0.06484375,0.2,7e-05,-0.006211707293987274,0.47935826852917673,80,0.5462602376937866,,,,,,,,
1.6433250904083252,205,46080,144.77,199,16,0.0077443225,-0.004280831664800644,-1.2402662134170532,0.10484375,0.2,7e-05,-0.005845468472689391,0.3909932399168611,85,0.42448246479034424,,,,,,,,
2.4049899578094482,208,48640,129.66,208,17,0.020986926,0.11844484508037567,-1.2296359872817992,0.16364583333333332,0.2,7e-05,-0.0018146571641167004,0.5172992863257726,89,0.19799470901489258,,,,,,,,
2.850398540496826,206,51200,123.62,223,18,0.0058335173,0.39792078733444214,-1.2135397684574127,0.07671875,0.2,7e-05,-0.004835092509165406,0.7547332336008549,94,0.1542108654975891,,,,,,,,
3.1778244972229004,207,53760,118.01,233,19,0.018893434,0.11525553464889526,-1.193676839900922,0.15565664556962025,0.2,7e-05,-0.006524830526094648,0.448394827568267,98,-0.11598491668701172,,,,,,,,
3.6684210300445557,206,56320,108.66,248,20,0.011068436,0.04866790771484375,-1.1690845942497254,0.101328125,0.2,7e-05,-0.00951215973123908,0.4374611481279135,103,0.07650339603424072,,,,,,,,
3.813148260116577,1807,58880,108.98,1,1,0.024828322,-0.01848616451025009,-1.1661077709083099,0.11370481927710843,0.2,7e-05,-0.00824537229196853,0.40063765169267196,108,0.042657673358917236,1,0.010272,7e-05,0,51200,200,3,5
4.274170875549316,325,61440,103.34,15,2,0.009100695,0.08571720123291016,-1.1394883322715759,0.149921875,0.2,7e-05,-0.008773568086326122,0.40262808933854105,113,0.06984633207321167,,,,,,,,
4.478227138519287,266,64000,97.4,28,3,0.013954086,0.0762467011809349,-1.1247890090942383,0.130078125,0.2,7e-05,-0.007671846840530634,0.4785342437773943,118,-0.12072443962097168,,,,,,,,
5.244267463684082,243,66560,83.87,42,4,0.011796486,0.14904016256332397,-1.0837814164161683,0.1125,0.2,7e-05,-0.008906031548976899,0.447330868691206,123,0.10412859916687012,,,,,,,,
5.3902058601379395,270,69120,80.6,47,5,0.018163865,0.10358071327209473,-1.0748406600307774,0.1640625,0.2,7e-05,0.0018267637571773015,0.4682736735086183,125,0.25140321254730225,,,,,,,,
5.46951150894165,255,71680,80.22,60,6,0.009684438,0.016884546726942062,-1.0479898411035538,0.133125,0.2,7e-05,-0.007225139569491148,0.33691316097974777,130,0.14254117012023926,,,,,,,,
5.576403617858887,255,74240,77.55,70,7,0.01635988,0.2059909850358963,-1.028293958022481,0.12276785714285714,0.2,7e-05,-0.004133881624078467,0.3722503250908284,135,0.4202083349227905,,,,,,,,
